"miRNA"	"88ef0233-d4f6-43ee-aa5f-2bb5089072d5.mirbase21.isoforms.quantification.txt"
"hsa-let-7a-2-3p"	3.53036
"hsa-let-7a-3p"	17.6518
"hsa-let-7a-5p"	19520.774758
"hsa-let-7b-3p"	14.121441
"hsa-let-7b-5p"	10602.378331
"hsa-let-7c-3p"	3.53036
"hsa-let-7c-5p"	844.462205
"hsa-let-7d-3p"	259.834525
"hsa-let-7d-5p"	136.977984
"hsa-let-7e-3p"	1.412144
"hsa-let-7e-5p"	473.774364
"hsa-let-7f-1-3p"	1.412144
"hsa-let-7f-2-3p"	0.706072
"hsa-let-7f-5p"	5419.103202
"hsa-let-7g-3p"	41.658252
"hsa-let-7g-5p"	586.745896
"hsa-let-7i-3p"	57.191838
"hsa-let-7i-5p"	344.563174
"hsa-miR-1"	7.766792
"hsa-miR-100-3p"	0.706072
"hsa-miR-100-5p"	1878.151728
"hsa-miR-101-3p"	10785.251001
"hsa-miR-101-5p"	3.53036
"hsa-miR-103a-2-5p"	2.824288
"hsa-miR-103a-3p"	18897.31311
"hsa-miR-106a-5p"	11.297153
"hsa-miR-106b-3p"	451.180057
"hsa-miR-106b-5p"	351.623895
"hsa-miR-107"	67.78292
"hsa-miR-10a-3p"	1.412144
"hsa-miR-10a-5p"	12041.353228
"hsa-miR-10b-5p"	160.278361
"hsa-miR-1180-3p"	12.709297
"hsa-miR-1185-1-3p"	0.706072
"hsa-miR-1185-5p"	1.412144
"hsa-miR-122-3p"	26.830738
"hsa-miR-122-5p"	8413.55489
"hsa-miR-1224-5p"	9.178936
"hsa-miR-1226-3p"	0.706072
"hsa-miR-1226-5p"	0.706072
"hsa-miR-1228-3p"	0.706072
"hsa-miR-1247-3p"	1.412144
"hsa-miR-1247-5p"	4.942504
"hsa-miR-1249"	1.412144
"hsa-miR-1254"	7.06072
"hsa-miR-1258"	2.118216
"hsa-miR-125a-3p"	1.412144
"hsa-miR-125a-5p"	324.793156
"hsa-miR-125b-1-3p"	1.412144
"hsa-miR-125b-2-3p"	9.178937
"hsa-miR-125b-5p"	418.700743
"hsa-miR-126-3p"	3897.517874
"hsa-miR-126-5p"	311.377786
"hsa-miR-1262"	0.706072
"hsa-miR-1266-5p"	18.357874
"hsa-miR-127-3p"	350.917823
"hsa-miR-127-5p"	176.518018
"hsa-miR-1271-5p"	0.706072
"hsa-miR-1277-3p"	1.412144
"hsa-miR-1278"	0.706072
"hsa-miR-128-1-5p"	4.236432
"hsa-miR-128-3p"	122.150469
"hsa-miR-1283"	0.706072
"hsa-miR-1287-3p"	9.178936
"hsa-miR-1287-5p"	34.597532
"hsa-miR-1291"	2.118216
"hsa-miR-1292-5p"	1.412144
"hsa-miR-1295b-5p"	2.824288
"hsa-miR-1301-3p"	12.709296
"hsa-miR-1304-5p"	1.412144
"hsa-miR-1306-3p"	1.412144
"hsa-miR-1306-5p"	7.06072
"hsa-miR-1307-3p"	1597.13504
"hsa-miR-1307-5p"	358.684615
"hsa-miR-130a-3p"	82.610434
"hsa-miR-130a-5p"	2.118216
"hsa-miR-130b-3p"	14.827513
"hsa-miR-130b-5p"	17.651802
"hsa-miR-132-3p"	175.105876
"hsa-miR-132-5p"	1.412144
"hsa-miR-133a-3p"	9.178936
"hsa-miR-133a-5p"	0.706072
"hsa-miR-133b"	0.706072
"hsa-miR-134-3p"	1.412144
"hsa-miR-134-5p"	165.926939
"hsa-miR-1343-3p"	0.706072
"hsa-miR-135a-3p"	0.706072
"hsa-miR-135b-5p"	1.412144
"hsa-miR-136-3p"	19.063946
"hsa-miR-136-5p"	35.303603
"hsa-miR-137"	8.472865
"hsa-miR-138-5p"	9.178936
"hsa-miR-139-3p"	12.709297
"hsa-miR-139-5p"	136.271911
"hsa-miR-140-3p"	869.8808
"hsa-miR-140-5p"	52.955405
"hsa-miR-141-3p"	16.239657
"hsa-miR-141-5p"	5.648576
"hsa-miR-142-3p"	1261.750803
"hsa-miR-142-5p"	37.421819
"hsa-miR-143-3p"	19599.14876
"hsa-miR-143-5p"	46.600757
"hsa-miR-144-3p"	4.942504
"hsa-miR-144-5p"	56.485766
"hsa-miR-145-3p"	17.651801
"hsa-miR-145-5p"	1055.577757
"hsa-miR-1468-5p"	5.648576
"hsa-miR-146a-5p"	50.837189
"hsa-miR-146b-3p"	138.390127
"hsa-miR-146b-5p"	1030.159162
"hsa-miR-148a-3p"	16876.534824
"hsa-miR-148a-5p"	14.121441
"hsa-miR-148b-3p"	103.792596
"hsa-miR-148b-5p"	1.412144
"hsa-miR-149-5p"	4.236432
"hsa-miR-150-5p"	190.639461
"hsa-miR-151a-3p"	1204.558965
"hsa-miR-151a-5p"	112.971533
"hsa-miR-151b"	1.412144
"hsa-miR-152-3p"	105.20474
"hsa-miR-152-5p"	2.118216
"hsa-miR-153-3p"	0.706072
"hsa-miR-153-5p"	2.824288
"hsa-miR-154-3p"	1.412144
"hsa-miR-154-5p"	8.472865
"hsa-miR-155-3p"	0.706072
"hsa-miR-155-5p"	83.316505
"hsa-miR-15a-3p"	0.706072
"hsa-miR-15a-5p"	196.994109
"hsa-miR-15b-3p"	60.722199
"hsa-miR-15b-5p"	847.286494
"hsa-miR-16-1-3p"	5.648577
"hsa-miR-16-2-3p"	20.47609
"hsa-miR-16-5p"	744.906043
"hsa-miR-17-3p"	373.512129
"hsa-miR-17-5p"	631.228438
"hsa-miR-181a-2-3p"	920.71799
"hsa-miR-181a-3p"	80.492217
"hsa-miR-181a-5p"	2978.212028
"hsa-miR-181b-3p"	4.236432
"hsa-miR-181b-5p"	778.091427
"hsa-miR-181c-3p"	37.421819
"hsa-miR-181c-5p"	108.7351
"hsa-miR-181d-5p"	39.540036
"hsa-miR-182-5p"	20935.743204
"hsa-miR-183-3p"	0.706072
"hsa-miR-183-5p"	2880.774078
"hsa-miR-185-3p"	3.53036
"hsa-miR-185-5p"	122.856542
"hsa-miR-186-5p"	365.039264
"hsa-miR-187-3p"	2.118216
"hsa-miR-188-5p"	2.824288
"hsa-miR-18a-3p"	0.706072
"hsa-miR-18a-5p"	8.472865
"hsa-miR-190a-3p"	0.706072
"hsa-miR-190a-5p"	2.118216
"hsa-miR-191-5p"	816.925395
"hsa-miR-192-3p"	104.498667
"hsa-miR-192-5p"	24082.706456
"hsa-miR-193a-3p"	13.41537
"hsa-miR-193a-5p"	561.327302
"hsa-miR-193b-3p"	144.038704
"hsa-miR-193b-5p"	12.003225
"hsa-miR-194-3p"	24.00645
"hsa-miR-194-5p"	10548.010782
"hsa-miR-195-3p"	4.236432
"hsa-miR-195-5p"	16.945729
"hsa-miR-196b-5p"	16.945729
"hsa-miR-197-3p"	296.550273
"hsa-miR-1976"	3.53036
"hsa-miR-199a-3p"	1390.25592
"hsa-miR-199a-5p"	1403.671292
"hsa-miR-199b-3p"	1386.019489
"hsa-miR-199b-5p"	23.300378
"hsa-miR-19a-3p"	38.833964
"hsa-miR-19a-5p"	0.706072
"hsa-miR-19b-1-5p"	12.003225
"hsa-miR-19b-3p"	169.457299
"hsa-miR-200a-3p"	1334.476227
"hsa-miR-200a-5p"	896.005467
"hsa-miR-200b-3p"	1562.537509
"hsa-miR-200b-5p"	46.600758
"hsa-miR-200c-3p"	62.840414
"hsa-miR-203a"	1044.280604
"hsa-miR-204-3p"	0.706072
"hsa-miR-204-5p"	100.262235
"hsa-miR-205-5p"	1.412144
"hsa-miR-20a-3p"	3.53036
"hsa-miR-20a-5p"	638.995231
"hsa-miR-20b-5p"	13.415369
"hsa-miR-21-3p"	1570.3043
"hsa-miR-21-5p"	525352.224054
"hsa-miR-210-3p"	875.529377
"hsa-miR-211-5p"	1.412144
"hsa-miR-2110"	1.412144
"hsa-miR-2115-3p"	0.706072
"hsa-miR-2116-5p"	0.706072
"hsa-miR-212-3p"	2.118216
"hsa-miR-214-3p"	3.53036
"hsa-miR-214-5p"	34.597531
"hsa-miR-215-5p"	118.620108
"hsa-miR-217"	19.063945
"hsa-miR-218-5p"	35.303604
"hsa-miR-219a-1-3p"	2.118216
"hsa-miR-219a-5p"	0.706072
"hsa-miR-22-3p"	70206.158924
"hsa-miR-22-5p"	24.712522
"hsa-miR-221-3p"	124.268686
"hsa-miR-221-5p"	1.412144
"hsa-miR-222-3p"	59.310055
"hsa-miR-222-5p"	1.412144
"hsa-miR-223-3p"	329.73566
"hsa-miR-223-5p"	2.118216
