"miRNA"	"88ef0233-d4f6-43ee-aa5f-2bb5089072d5.mirbase21.isoforms.quantification.txt"
"hsa-let-7a-2-3p"	5
"hsa-let-7a-3p"	25
"hsa-let-7a-5p"	27647
"hsa-let-7b-3p"	20
"hsa-let-7b-5p"	15016
"hsa-let-7c-3p"	5
"hsa-let-7c-5p"	1196
"hsa-let-7d-3p"	368
"hsa-let-7d-5p"	194
"hsa-let-7e-3p"	2
"hsa-let-7e-5p"	671
"hsa-let-7f-1-3p"	2
"hsa-let-7f-2-3p"	1
"hsa-let-7f-5p"	7675
"hsa-let-7g-3p"	59
"hsa-let-7g-5p"	831
"hsa-let-7i-3p"	81
"hsa-let-7i-5p"	488
"hsa-miR-1"	11
"hsa-miR-100-3p"	1
"hsa-miR-100-5p"	2660
"hsa-miR-101-3p"	15275
"hsa-miR-101-5p"	5
"hsa-miR-103a-2-5p"	4
"hsa-miR-103a-3p"	26764
"hsa-miR-106a-5p"	16
"hsa-miR-106b-3p"	639
"hsa-miR-106b-5p"	498
"hsa-miR-107"	96
"hsa-miR-10a-3p"	2
"hsa-miR-10a-5p"	17054
"hsa-miR-10b-5p"	227
"hsa-miR-1180-3p"	18
"hsa-miR-1185-1-3p"	1
"hsa-miR-1185-5p"	2
"hsa-miR-122-3p"	38
"hsa-miR-122-5p"	11916
"hsa-miR-1224-5p"	13
"hsa-miR-1226-3p"	1
"hsa-miR-1226-5p"	1
"hsa-miR-1228-3p"	1
"hsa-miR-1247-3p"	2
"hsa-miR-1247-5p"	7
"hsa-miR-1249"	2
"hsa-miR-1254"	10
"hsa-miR-1258"	3
"hsa-miR-125a-3p"	2
"hsa-miR-125a-5p"	460
"hsa-miR-125b-1-3p"	2
"hsa-miR-125b-2-3p"	13
"hsa-miR-125b-5p"	593
"hsa-miR-126-3p"	5520
"hsa-miR-126-5p"	441
"hsa-miR-1262"	1
"hsa-miR-1266-5p"	26
"hsa-miR-127-3p"	497
"hsa-miR-127-5p"	250
"hsa-miR-1271-5p"	1
"hsa-miR-1277-3p"	2
"hsa-miR-1278"	1
"hsa-miR-128-1-5p"	6
"hsa-miR-128-3p"	173
"hsa-miR-1283"	1
"hsa-miR-1287-3p"	13
"hsa-miR-1287-5p"	49
"hsa-miR-1291"	3
"hsa-miR-1292-5p"	2
"hsa-miR-1295b-5p"	4
"hsa-miR-1301-3p"	18
"hsa-miR-1304-5p"	2
"hsa-miR-1306-3p"	2
"hsa-miR-1306-5p"	10
"hsa-miR-1307-3p"	2262
"hsa-miR-1307-5p"	508
"hsa-miR-130a-3p"	117
"hsa-miR-130a-5p"	3
"hsa-miR-130b-3p"	21
"hsa-miR-130b-5p"	25
"hsa-miR-132-3p"	248
"hsa-miR-132-5p"	2
"hsa-miR-133a-3p"	13
"hsa-miR-133a-5p"	1
"hsa-miR-133b"	1
"hsa-miR-134-3p"	2
"hsa-miR-134-5p"	235
"hsa-miR-1343-3p"	1
"hsa-miR-135a-3p"	1
"hsa-miR-135b-5p"	2
"hsa-miR-136-3p"	27
"hsa-miR-136-5p"	50
"hsa-miR-137"	12
"hsa-miR-138-5p"	13
"hsa-miR-139-3p"	18
"hsa-miR-139-5p"	193
"hsa-miR-140-3p"	1232
"hsa-miR-140-5p"	75
"hsa-miR-141-3p"	23
"hsa-miR-141-5p"	8
"hsa-miR-142-3p"	1787
"hsa-miR-142-5p"	53
"hsa-miR-143-3p"	27758
"hsa-miR-143-5p"	66
"hsa-miR-144-3p"	7
"hsa-miR-144-5p"	80
"hsa-miR-145-3p"	25
"hsa-miR-145-5p"	1495
"hsa-miR-1468-5p"	8
"hsa-miR-146a-5p"	72
"hsa-miR-146b-3p"	196
"hsa-miR-146b-5p"	1459
"hsa-miR-148a-3p"	23902
"hsa-miR-148a-5p"	20
"hsa-miR-148b-3p"	147
"hsa-miR-148b-5p"	2
"hsa-miR-149-5p"	6
"hsa-miR-150-5p"	270
"hsa-miR-151a-3p"	1706
"hsa-miR-151a-5p"	160
"hsa-miR-151b"	2
"hsa-miR-152-3p"	149
"hsa-miR-152-5p"	3
"hsa-miR-153-3p"	1
"hsa-miR-153-5p"	4
"hsa-miR-154-3p"	2
"hsa-miR-154-5p"	12
"hsa-miR-155-3p"	1
"hsa-miR-155-5p"	118
"hsa-miR-15a-3p"	1
"hsa-miR-15a-5p"	279
"hsa-miR-15b-3p"	86
"hsa-miR-15b-5p"	1200
"hsa-miR-16-1-3p"	8
"hsa-miR-16-2-3p"	29
"hsa-miR-16-5p"	1055
"hsa-miR-17-3p"	529
"hsa-miR-17-5p"	894
"hsa-miR-181a-2-3p"	1304
"hsa-miR-181a-3p"	114
"hsa-miR-181a-5p"	4218
"hsa-miR-181b-3p"	6
"hsa-miR-181b-5p"	1102
"hsa-miR-181c-3p"	53
"hsa-miR-181c-5p"	154
"hsa-miR-181d-5p"	56
"hsa-miR-182-5p"	29651
"hsa-miR-183-3p"	1
"hsa-miR-183-5p"	4080
"hsa-miR-185-3p"	5
"hsa-miR-185-5p"	174
"hsa-miR-186-5p"	517
"hsa-miR-187-3p"	3
"hsa-miR-188-5p"	4
"hsa-miR-18a-3p"	1
"hsa-miR-18a-5p"	12
"hsa-miR-190a-3p"	1
"hsa-miR-190a-5p"	3
"hsa-miR-191-5p"	1157
"hsa-miR-192-3p"	148
"hsa-miR-192-5p"	34108
"hsa-miR-193a-3p"	19
"hsa-miR-193a-5p"	795
"hsa-miR-193b-3p"	204
"hsa-miR-193b-5p"	17
"hsa-miR-194-3p"	34
"hsa-miR-194-5p"	14939
"hsa-miR-195-3p"	6
"hsa-miR-195-5p"	24
"hsa-miR-196b-5p"	24
"hsa-miR-197-3p"	420
"hsa-miR-1976"	5
"hsa-miR-199a-3p"	1969
"hsa-miR-199a-5p"	1988
"hsa-miR-199b-3p"	1963
"hsa-miR-199b-5p"	33
"hsa-miR-19a-3p"	55
"hsa-miR-19a-5p"	1
"hsa-miR-19b-1-5p"	17
"hsa-miR-19b-3p"	240
"hsa-miR-200a-3p"	1890
"hsa-miR-200a-5p"	1269
"hsa-miR-200b-3p"	2213
"hsa-miR-200b-5p"	66
"hsa-miR-200c-3p"	89
"hsa-miR-203a"	1479
"hsa-miR-204-3p"	1
"hsa-miR-204-5p"	142
"hsa-miR-205-5p"	2
"hsa-miR-20a-3p"	5
"hsa-miR-20a-5p"	905
"hsa-miR-20b-5p"	19
"hsa-miR-21-3p"	2224
"hsa-miR-21-5p"	744049
"hsa-miR-210-3p"	1240
"hsa-miR-211-5p"	2
"hsa-miR-2110"	2
"hsa-miR-2115-3p"	1
"hsa-miR-2116-5p"	1
"hsa-miR-212-3p"	3
"hsa-miR-214-3p"	5
"hsa-miR-214-5p"	49
"hsa-miR-215-5p"	168
"hsa-miR-217"	27
"hsa-miR-218-5p"	50
"hsa-miR-219a-1-3p"	3
"hsa-miR-219a-5p"	1
"hsa-miR-22-3p"	99432
"hsa-miR-22-5p"	35
"hsa-miR-221-3p"	176
"hsa-miR-221-5p"	2
"hsa-miR-222-3p"	84
"hsa-miR-222-5p"	2
"hsa-miR-223-3p"	467
"hsa-miR-223-5p"	3
"hsa-miR-224-3p"	5
"hsa-miR-224-5p"	158
"hsa-miR-2276-3p"	1
"hsa-miR-2355-3p"	13
"hsa-miR-2355-5p"	55
"hsa-miR-23a-3p"	5226
"hsa-miR-23a-5p"	1
"hsa-miR-23b-3p"	1645
"hsa-miR-23b-5p"	1
"hsa-miR-23c"	4
"hsa-miR-24-1-5p"	28
"hsa-miR-24-2-5p"	30
"hsa-miR-24-3p"	1907
"hsa-miR-25-3p"	20530
"hsa-miR-25-5p"	2
"hsa-miR-26a-1-3p"	2
"hsa-miR-26a-2-3p"	5
"hsa-miR-26a-5p"	2892
"hsa-miR-26b-3p"	23
