      
rfpred blca brca chol coad esca hnsc kich kirc lich luad  ov paad prad skcm stad thca ucec
  blca  138    0    0    0    0    0    0    0    0    0   0    0    0    0    0    0    0
  brca    0  350    0    0    0    0    0    0    0    0   0    0    0    0    0    0    0
  chol    0    0   12    0    0    0    0    0    0    0   0    0    0    0    0    0    0
  coad    0    0    0  144    0    0    0    0    0    0   0    0    0    0    0    0    0
  esca    0    0    0    0   57    0    0    0    0    0   0    0    0    0    0    0    0
  hnsc    0    0    0    0    0  170    0    0    0    0   0    0    0    0    0    0    0
  kich    0    0    0    0    0    0   25    0    0    0   0    0    0    0    0    0    0
  kirc    0    0    0    0    0    0    0  181    0    0   0    0    0    0    0    0    0
  lich    0    0    0    0    0    0    0    0  115    0   0    0    0    0    0    0    0
  luad    0    0    0    0    0    0    0    0    0  168   0    0    0    0    0    0    0
  ov      0    0    0    0    0    0    0    0    0    0 127    0    0    0    0    0    0
  paad    0    0    0    0    0    0    0    0    0    0   0   69    0    0    0    0    0
  prad    0    0    0    0    0    0    0    0    0    0   0    0  150    0    0    0    0
  skcm    0    0    0    0    0    0    0    0    0    0   0    0    0  161    0    0    0
  stad    0    0    0    0    0    0    0    0    0    0   0    0    0    0  159    0    0
  thca    0    0    0    0    0    0    0    0    0    0   0    0    0    0    0  189    0
  ucec    0    0    0    0    0    0    0    0    0    0   0    0    0    0    0    0  170
