"miRNA"	"Count"
"hsa-let-7a-5p"	4
"hsa-let-7a-5p"	4
"hsa-let-7a-5p"	6
"hsa-let-7a-5p"	193
"hsa-let-7a-5p"	7440
"hsa-let-7a-5p"	9611
"hsa-let-7a-5p"	24595
"hsa-let-7a-5p"	625
"hsa-let-7a-5p"	12
"hsa-let-7a-5p"	8
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	11
"hsa-let-7a-5p"	1
NA	1
"hsa-let-7a-3p"	10
"hsa-let-7a-3p"	25
"hsa-let-7a-3p"	13
"hsa-let-7a-3p"	1
"hsa-let-7a-3p"	3
"hsa-let-7a-2-3p"	7
"hsa-let-7a-2-3p"	190
"hsa-let-7a-2-3p"	40
"hsa-let-7a-2-3p"	1
"hsa-let-7a-2-3p"	6
"hsa-let-7a-2-3p"	3
"hsa-let-7a-5p"	6
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	582
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	14
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	24644
"hsa-let-7a-5p"	25
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	9729
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	7392
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	189
"hsa-let-7a-5p"	1
NA	125
NA	24
NA	42
NA	2
NA	2
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	3
"hsa-let-7a-5p"	53
"hsa-let-7a-5p"	70
"hsa-let-7a-5p"	27
"hsa-let-7a-5p"	173
"hsa-let-7a-5p"	7455
"hsa-let-7a-5p"	9792
"hsa-let-7a-5p"	24489
"hsa-let-7a-5p"	548
"hsa-let-7a-5p"	3
"hsa-let-7a-5p"	7
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	14
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7a-3p"	14
"hsa-let-7a-3p"	42
"hsa-let-7a-3p"	15
"hsa-let-7a-3p"	1
"hsa-let-7a-3p"	2
"hsa-let-7a-3p"	1
"hsa-let-7b-5p"	1
"hsa-let-7b-5p"	37
"hsa-let-7b-5p"	39
"hsa-let-7b-5p"	2401
"hsa-let-7b-5p"	30956
"hsa-let-7b-5p"	16988
"hsa-let-7b-5p"	34305
"hsa-let-7b-5p"	5828
"hsa-let-7b-5p"	5
"hsa-let-7b-5p"	8
"hsa-let-7b-5p"	3
"hsa-let-7b-5p"	5
"hsa-let-7b-5p"	1
"hsa-let-7b-5p"	2
"hsa-let-7b-5p"	3
"hsa-let-7b-5p"	6
"hsa-let-7b-5p"	6
"hsa-let-7b-5p"	1
"hsa-let-7b-5p"	3
"hsa-let-7b-5p"	1
"hsa-let-7b-5p"	1
"hsa-let-7b-5p"	2
"hsa-let-7b-3p"	1
"hsa-let-7b-3p"	24
"hsa-let-7b-3p"	65
"hsa-let-7b-3p"	1
"hsa-let-7b-3p"	1
"hsa-let-7b-3p"	4
"hsa-let-7c-5p"	1
"hsa-let-7c-5p"	1
"hsa-let-7c-5p"	3
"hsa-let-7c-5p"	29
"hsa-let-7c-5p"	18
"hsa-let-7c-5p"	22
"hsa-let-7c-5p"	170
"hsa-let-7c-5p"	1042
"hsa-let-7c-5p"	926
"hsa-let-7c-5p"	3250
"hsa-let-7c-5p"	154
"hsa-let-7c-5p"	2
"hsa-let-7c-5p"	1
"hsa-let-7c-5p"	2
"hsa-let-7c-5p"	2
"hsa-let-7c-5p"	1
"hsa-let-7c-5p"	3
"hsa-let-7c-3p"	2
"hsa-let-7c-3p"	1
"hsa-let-7c-3p"	14
"hsa-let-7d-5p"	1
"hsa-let-7d-5p"	1
"hsa-let-7d-5p"	82
"hsa-let-7d-5p"	92
"hsa-let-7d-5p"	284
"hsa-let-7d-5p"	21
"hsa-let-7d-5p"	3
"hsa-let-7d-3p"	122
"hsa-let-7d-3p"	274
