"miRNA"	"Count"
"hsa-let-7a-5p"	0.708559
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	23.913876
"hsa-let-7a-5p"	1061.953236
"hsa-let-7a-5p"	1269.915387
"hsa-let-7a-5p"	2521.408233
"hsa-let-7a-5p"	53.850506
"hsa-let-7a-5p"	0.708559
"hsa-let-7a-5p"	0.885699
"hsa-let-7a-5p"	1.594258
"hsa-let-7a-5p"	0.35428
"hsa-let-7a-5p"	59.51898
"hsa-let-7a-5p"	0.531419
"hsa-let-7a-5p"	0.885699
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	2487.751667
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	1.062839
"hsa-let-7a-5p"	1270.092527
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	1060.358977
"hsa-let-7a-5p"	0.35428
"hsa-let-7a-5p"	28.696651
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	0.35428
"hsa-let-7a-5p"	6.022754
"hsa-let-7a-5p"	11.336949
"hsa-let-7a-5p"	4.428496
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	26.039554
"hsa-let-7a-5p"	1075.238722
"hsa-let-7a-5p"	1249.721448
"hsa-let-7a-5p"	2536.996538
"hsa-let-7a-5p"	57.924722
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	0.35428
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	0.885699
"hsa-let-7a-5p"	0.17714
"hsa-let-7a-5p"	0.17714
"hsa-let-7b-5p"	2.479958
"hsa-let-7b-5p"	8.679851
"hsa-let-7b-5p"	135.511964
"hsa-let-7b-5p"	2463.660651
"hsa-let-7b-5p"	953.543664
"hsa-let-7b-5p"	1995.30296
"hsa-let-7b-5p"	406.004473
"hsa-let-7b-5p"	0.35428
"hsa-let-7b-5p"	0.17714
"hsa-let-7b-5p"	0.35428
"hsa-let-7b-5p"	0.885699
"hsa-let-7b-5p"	0.35428
"hsa-let-7b-5p"	0.17714
"hsa-let-7b-5p"	0.35428
"hsa-let-7b-5p"	0.885699
"hsa-let-7b-5p"	0.531419
"hsa-let-7b-5p"	0.35428
"hsa-let-7b-5p"	0.17714
"hsa-let-7b-5p"	0.17714
"hsa-let-7c-5p"	0.17714
"hsa-let-7c-5p"	2.834237
"hsa-let-7c-5p"	2.479958
"hsa-let-7c-5p"	3.188517
"hsa-let-7c-5p"	0.17714
"hsa-let-7c-5p"	32.593727
"hsa-let-7c-5p"	161.551518
"hsa-let-7c-5p"	136.929083
"hsa-let-7c-5p"	528.93951
"hsa-let-7c-5p"	14.879745
"hsa-let-7c-5p"	0.17714
"hsa-let-7c-5p"	1.239979
"hsa-let-7c-5p"	0.17714
"hsa-let-7c-5p"	0.17714
"hsa-let-7d-5p"	0.17714
"hsa-let-7d-5p"	0.17714
"hsa-let-7d-5p"	27.633812
"hsa-let-7d-5p"	35.427964
"hsa-let-7d-5p"	85.381394
"hsa-let-7d-5p"	6.199894
"hsa-let-7d-5p"	0.708559
"hsa-let-7d-5p"	0.17714
"hsa-let-7e-5p"	0.17714
"hsa-let-7e-5p"	0.885699
"hsa-let-7e-5p"	1.417119
"hsa-let-7e-5p"	2.657097
"hsa-let-7e-5p"	96.541203
"hsa-let-7e-5p"	334.617125
"hsa-let-7e-5p"	772.861046
"hsa-let-7e-5p"	18.776821
"hsa-let-7e-5p"	1.948538
"hsa-let-7e-5p"	0.17714
"hsa-let-7e-5p"	0.17714
"hsa-let-7e-5p"	0.17714
"hsa-let-7f-5p"	0.35428
"hsa-let-7f-5p"	0.708559
"hsa-let-7f-5p"	7.262733
"hsa-let-7f-5p"	3.719936
"hsa-let-7f-5p"	193.968106
"hsa-let-7f-5p"	527.168112
"hsa-let-7f-5p"	1117.57514
"hsa-let-7f-5p"	8.502711
"hsa-let-7f-5p"	0.17714
"hsa-let-7f-5p"	0.17714
"hsa-let-7f-5p"	0.35428
"hsa-let-7f-5p"	0.17714
"hsa-let-7f-5p"	0.35428
"hsa-let-7f-5p"	3.011377
"hsa-let-7f-5p"	1.062839
"hsa-let-7f-5p"	0.17714
"hsa-let-7f-5p"	31.176609
"hsa-let-7f-5p"	0.35428
"hsa-let-7f-5p"	0.531419
"hsa-let-7f-5p"	1107.47817
"hsa-let-7f-5p"	0.531419
"hsa-let-7f-5p"	0.17714
"hsa-let-7f-5p"	514.236905
"hsa-let-7f-5p"	0.531419
"hsa-let-7f-5p"	200.699419
"hsa-let-7f-5p"	4.428496
"hsa-let-7f-5p"	4.959915
"hsa-let-7f-5p"	1.594258
"hsa-let-7f-5p"	0.35428
"hsa-miR-15a-5p"	0.17714
"hsa-miR-15a-5p"	29.050931
"hsa-miR-15a-5p"	27.456672
"hsa-miR-15a-5p"	13.108347
"hsa-miR-15a-5p"	23.559596
"hsa-miR-15a-5p"	5.314195
"hsa-miR-15a-5p"	0.35428
"hsa-miR-16-5p"	1.771398
"hsa-miR-16-5p"	0.35428
"hsa-miR-16-5p"	0.17714
"hsa-miR-16-5p"	9.034131
"hsa-miR-16-5p"	0.17714
"hsa-miR-16-5p"	0.17714
"hsa-miR-16-5p"	0.17714
"hsa-miR-16-5p"	181.922598
"hsa-miR-16-5p"	4.251356
"hsa-miR-16-5p"	0.17714
"hsa-miR-16-5p"	20.19394
"hsa-miR-16-5p"	2.302818
"hsa-miR-16-5p"	0.17714
"hsa-miR-16-5p"	1.594258
"hsa-miR-16-5p"	20.37108
"hsa-miR-16-5p"	6.731313
"hsa-miR-16-5p"	183.339716
"hsa-miR-16-5p"	7.439873
"hsa-miR-16-5p"	0.17714
"hsa-miR-16-5p"	0.708559
"hsa-miR-16-5p"	0.17714
"hsa-miR-16-5p"	0.708559
"hsa-miR-16-5p"	0.17714
"hsa-miR-17-5p"	0.17714
"hsa-miR-17-5p"	0.35428
"hsa-miR-17-5p"	1.239979
"hsa-miR-17-5p"	0.35428
"hsa-miR-17-5p"	0.885699
"hsa-miR-17-5p"	0.17714
"hsa-miR-17-5p"	0.35428
"hsa-miR-17-5p"	1.062839
"hsa-miR-17-5p"	7.971292
"hsa-miR-17-5p"	7.085593
"hsa-miR-17-5p"	185.288254
"hsa-miR-17-5p"	5.137055
"hsa-miR-17-5p"	3.188517
"hsa-miR-17-3p"	0.885699
"hsa-miR-17-3p"	178.556941
"hsa-miR-17-3p"	3.719936
"hsa-miR-17-3p"	22.496757
"hsa-miR-17-3p"	0.35428
"hsa-miR-17-3p"	0.17714
"hsa-miR-18a-5p"	0.35428
"hsa-miR-18a-5p"	0.708559
"hsa-miR-18a-5p"	1.594258
"hsa-miR-18a-5p"	1.062839
"hsa-miR-18a-5p"	2.834237
"hsa-miR-18a-5p"	0.17714
"hsa-miR-19a-3p"	0.35428
"hsa-miR-19a-3p"	0.35428
"hsa-miR-19a-3p"	0.35428
"hsa-miR-19a-3p"	3.188517
"hsa-miR-19a-3p"	6.731313
"hsa-miR-19b-3p"	1.062839
"hsa-miR-19b-3p"	0.17714
"hsa-miR-19b-3p"	12.576927
"hsa-miR-19b-3p"	12.045508
"hsa-miR-19b-3p"	12.754067
"hsa-miR-19b-3p"	13.285487
"hsa-miR-19b-3p"	1.594258
"hsa-miR-19b-3p"	0.885699
"hsa-miR-20a-5p"	0.531419
"hsa-miR-20a-5p"	3.188517
"hsa-miR-20a-5p"	1.771398
"hsa-miR-20a-5p"	205.482194
"hsa-miR-20a-5p"	5.491334
"hsa-miR-21-5p"	1.062839
"hsa-miR-21-5p"	1.239979
"hsa-miR-21-5p"	4.428496
"hsa-miR-21-5p"	78.472941
"hsa-miR-21-5p"	205.482194
"hsa-miR-21-5p"	3.719936
"hsa-miR-21-5p"	0.35428
"hsa-miR-21-5p"	1.771398
"hsa-miR-21-5p"	5.137055
"hsa-miR-21-5p"	621.937917
"hsa-miR-21-5p"	620.166519
"hsa-miR-21-5p"	1776.53528
"hsa-miR-21-5p"	73250.682254
"hsa-miR-21-5p"	358310.46163
"hsa-miR-21-5p"	29560.562157
"hsa-miR-21-5p"	1552.276264
"hsa-miR-21-5p"	1.239979
"hsa-miR-21-5p"	13.108347
"hsa-miR-21-5p"	4.251356
"hsa-miR-21-5p"	0.17714
"hsa-miR-21-5p"	0.35428
"hsa-miR-21-5p"	11.514088
"hsa-miR-21-5p"	158.363001
"hsa-miR-21-5p"	8.679851
"hsa-miR-21-5p"	4.074216
"hsa-miR-21-5p"	0.708559
"hsa-miR-21-5p"	6.731313
"hsa-miR-21-5p"	2.302818
"hsa-miR-21-5p"	2.125678
"hsa-miR-21-5p"	20.19394
"hsa-miR-21-5p"	8.148432
"hsa-miR-21-5p"	6.554173
"hsa-miR-21-5p"	2.479958
"hsa-miR-21-5p"	31.708028
"hsa-miR-21-5p"	4.959915
"hsa-miR-21-5p"	3.011377
"hsa-miR-21-5p"	1.062839
"hsa-miR-21-5p"	1.948538
"hsa-miR-21-5p"	3.542796
"hsa-miR-21-5p"	9.91983
"hsa-miR-21-5p"	0.17714
"hsa-miR-21-5p"	1.417119
"hsa-miR-21-5p"	12.045508
"hsa-miR-21-5p"	6.022754
"hsa-miR-21-5p"	0.35428
"hsa-miR-21-5p"	0.531419
"hsa-miR-21-5p"	0.17714
"hsa-miR-21-5p"	0.17714
"hsa-miR-22-3p"	3.188517
"hsa-miR-22-3p"	0.17714
"hsa-miR-22-3p"	0.17714
"hsa-miR-22-3p"	29.050931
"hsa-miR-22-3p"	1084.981413
"hsa-miR-22-3p"	0.885699
"hsa-miR-22-3p"	0.17714
"hsa-miR-22-3p"	0.35428
"hsa-miR-22-3p"	4.074216
"hsa-miR-22-3p"	12.399788
"hsa-miR-22-3p"	825.117293
"hsa-miR-22-3p"	90732.257055
"hsa-miR-22-3p"	32.416588
"hsa-miR-22-3p"	0.17714
"hsa-miR-22-3p"	1.771398
"hsa-miR-22-3p"	269.07539
"hsa-miR-22-3p"	1.062839
"hsa-miR-22-3p"	205.482194
"hsa-miR-22-3p"	23.559596
"hsa-miR-22-3p"	12.045508
"hsa-miR-22-3p"	2.834237
"hsa-miR-22-3p"	0.885699
"hsa-miR-23a-3p"	3.365657
"hsa-miR-23a-3p"	2.479958
"hsa-miR-23a-3p"	0.17714
"hsa-miR-23a-3p"	0.17714
"hsa-miR-23a-3p"	5.137055
"hsa-miR-23a-3p"	232.053167
"hsa-miR-23a-3p"	0.17714
"hsa-miR-23a-3p"	0.17714
"hsa-miR-23a-3p"	12.931207
"hsa-miR-23a-3p"	863.910914
"hsa-miR-23a-3p"	0.708559
"hsa-miR-23a-3p"	9.56555
"hsa-miR-23a-3p"	1416.94144
"hsa-miR-23a-3p"	3.188517
"hsa-miR-23a-3p"	4.251356
"hsa-miR-23a-3p"	917.93856
"hsa-miR-23a-3p"	4.959915
"hsa-miR-23a-3p"	0.708559
"hsa-miR-23a-3p"	203.887936
"hsa-miR-23a-3p"	2.479958
"hsa-miR-23a-3p"	130.02063
"hsa-miR-23a-3p"	1.417119
"hsa-miR-23a-3p"	2.834237
"hsa-miR-23a-3p"	1.594258
"hsa-miR-24-1-5p"	1.062839
"hsa-miR-24-1-5p"	0.35428
"hsa-miR-24-1-5p"	0.17714
"hsa-miR-24-1-5p"	0.885699
"hsa-miR-24-1-5p"	2.125678
"hsa-miR-24-1-5p"	1.239979
"hsa-miR-24-1-5p"	1.594258
"hsa-miR-24-1-5p"	0.708559
"hsa-miR-24-1-5p"	0.35428
"hsa-miR-24-3p"	0.17714
"hsa-miR-24-3p"	2.834237
"hsa-miR-24-3p"	0.885699
"hsa-miR-24-3p"	1.239979
"hsa-miR-24-3p"	0.531419
"hsa-miR-24-3p"	4.959915
"hsa-miR-24-3p"	33.833706
"hsa-miR-24-3p"	123.466456
"hsa-miR-24-3p"	84.849975
"hsa-miR-24-3p"	545.059234
"hsa-miR-24-3p"	3.011377
"hsa-miR-24-3p"	0.531419
"hsa-miR-24-3p"	0.35428
"hsa-miR-24-3p"	0.17714
"hsa-miR-24-3p"	1.062839
"hsa-miR-24-3p"	0.17714
"hsa-miR-24-3p"	0.35428
"hsa-miR-24-3p"	1.594258
"hsa-miR-24-3p"	0.35428
"hsa-miR-24-3p"	0.17714
"hsa-miR-24-3p"	0.17714
"hsa-miR-24-3p"	0.708559
"hsa-miR-24-3p"	0.35428
"hsa-miR-24-3p"	4.782775
"hsa-miR-24-3p"	0.708559
"hsa-miR-24-3p"	0.885699
"hsa-miR-24-3p"	544.704954
"hsa-miR-24-3p"	1.417119
"hsa-miR-24-3p"	0.17714
"hsa-miR-24-3p"	86.798513
"hsa-miR-24-3p"	1.594258
"hsa-miR-24-3p"	0.17714
