"miRNA"	"7888df2c-7336-4256-a863-4a38cf4471c3.mirbase21.isoforms.quantification.txt"
"hsa-let-7a-2-3p"	7.794153
"hsa-let-7a-3p"	18.776822
"hsa-let-7a-5p"	14816.329034
"hsa-let-7b-3p"	16.651144
"hsa-let-7b-5p"	5969.966298
"hsa-let-7c-3p"	10.451249
"hsa-let-7c-5p"	885.521974
"hsa-let-7d-3p"	334.439984
"hsa-let-7d-5p"	155.883043
"hsa-let-7e-3p"	7.262733
"hsa-let-7e-5p"	1230.413208
"hsa-let-7f-1-3p"	3.188517
"hsa-let-7f-2-3p"	0.885699
"hsa-let-7f-5p"	3731.804642
"hsa-let-7g-3p"	17.182563
"hsa-let-7g-5p"	492.802987
"hsa-let-7i-3p"	60.581819
"hsa-let-7i-5p"	365.262314
"hsa-miR-1"	8.502712
"hsa-miR-100-3p"	0.17714
"hsa-miR-100-5p"	6611.921012
"hsa-miR-101-3p"	11783.518131
"hsa-miR-101-5p"	8.856992
"hsa-miR-103a-2-5p"	0.708559
"hsa-miR-103a-3p"	12753.358659
"hsa-miR-105-5p"	0.8857
"hsa-miR-106a-5p"	10.80553
"hsa-miR-106b-3p"	246.047214
"hsa-miR-106b-5p"	216.287724
"hsa-miR-107"	81.30718
"hsa-miR-10a-3p"	2.657098
"hsa-miR-10a-5p"	25142.340707
"hsa-miR-10b-3p"	1.594258
"hsa-miR-10b-5p"	4750.890041
"hsa-miR-1179"	0.17714
"hsa-miR-1180-3p"	19.308241
"hsa-miR-122-3p"	6.731314
"hsa-miR-122-5p"	904.475935
"hsa-miR-1224-5p"	0.531419
"hsa-miR-1226-3p"	0.53142
"hsa-miR-1227-3p"	0.17714
"hsa-miR-1228-3p"	0.17714
"hsa-miR-1228-5p"	0.885699
"hsa-miR-1229-3p"	0.70856
"hsa-miR-1234-3p"	0.17714
"hsa-miR-1237-3p"	0.17714
"hsa-miR-1245a"	0.17714
"hsa-miR-1247-3p"	7.971293
"hsa-miR-1247-5p"	5.491335
"hsa-miR-1249"	2.657096
"hsa-miR-1254"	0.35428
"hsa-miR-1258"	0.17714
"hsa-miR-125a-3p"	3.188517
"hsa-miR-125a-5p"	614.675185
"hsa-miR-125b-1-3p"	0.35428
"hsa-miR-125b-2-3p"	8.679852
"hsa-miR-125b-5p"	529.825209
"hsa-miR-126-3p"	3452.986561
"hsa-miR-126-5p"	212.567788
"hsa-miR-1262"	0.35428
"hsa-miR-1266-5p"	7.617012
"hsa-miR-1269a"	2.479958
"hsa-miR-127-3p"	307.869012
"hsa-miR-127-5p"	140.471879
"hsa-miR-1270"	2.657098
"hsa-miR-1271-5p"	0.17714
"hsa-miR-1277-3p"	1.239979
"hsa-miR-128-1-5p"	5.491335
"hsa-miR-128-3p"	153.403086
"hsa-miR-1284"	0.53142
"hsa-miR-1286"	0.17714
"hsa-miR-1287-3p"	4.074216
"hsa-miR-1287-5p"	34.365126
"hsa-miR-1288-3p"	0.17714
"hsa-miR-129-5p"	0.17714
"hsa-miR-1291"	0.17714
"hsa-miR-1292-3p"	0.17714
"hsa-miR-1292-5p"	0.53142
"hsa-miR-1293"	0.17714
"hsa-miR-1296-5p"	3.365657
"hsa-miR-1301-3p"	10.274111
"hsa-miR-1304-3p"	0.35428
"hsa-miR-1306-3p"	1.948539
"hsa-miR-1306-5p"	7.971293
"hsa-miR-1307-3p"	916.52144
"hsa-miR-1307-5p"	260.39554
"hsa-miR-130a-3p"	99.198301
"hsa-miR-130a-5p"	1.06284
"hsa-miR-130b-3p"	12.399788
"hsa-miR-130b-5p"	8.325572
"hsa-miR-132-3p"	119.037961
"hsa-miR-132-5p"	1.239979
"hsa-miR-133a-3p"	6.377035
"hsa-miR-133b"	0.8857
"hsa-miR-134-5p"	96.895483
"hsa-miR-1343-3p"	0.17714
"hsa-miR-135a-5p"	0.35428
"hsa-miR-135b-3p"	0.531419
"hsa-miR-135b-5p"	74.044446
"hsa-miR-136-3p"	6.731315
"hsa-miR-136-5p"	22.673898
"hsa-miR-137"	0.17714
"hsa-miR-138-5p"	0.35428
"hsa-miR-139-3p"	6.731314
"hsa-miR-139-5p"	45.170654
"hsa-miR-140-3p"	898.0989
"hsa-miR-140-5p"	57.216162
"hsa-miR-141-3p"	14.879744
"hsa-miR-141-5p"	8.502713
"hsa-miR-142-3p"	1319.16026
"hsa-miR-142-5p"	52.787667
"hsa-miR-143-3p"	58966.126972
"hsa-miR-143-5p"	58.101862
"hsa-miR-144-3p"	7.794153
"hsa-miR-144-5p"	60.936099
"hsa-miR-145-3p"	49.599152
"hsa-miR-145-5p"	1469.729107
"hsa-miR-1468-5p"	13.462627
"hsa-miR-146a-5p"	68.198833
"hsa-miR-146b-3p"	54.027648
"hsa-miR-146b-5p"	348.965451
"hsa-miR-147b"	0.35428
"hsa-miR-148a-3p"	22111.478342
