"miRNA"	"Count"
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	45
"hsa-let-7a-5p"	1446
"hsa-let-7a-5p"	2136
"hsa-let-7a-5p"	5404
"hsa-let-7a-5p"	194
"hsa-let-7a-5p"	4
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	4
"hsa-let-7a-5p"	179
"hsa-let-7a-5p"	5246
"hsa-let-7a-5p"	2131
"hsa-let-7a-5p"	1459
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	37
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	10
"hsa-let-7a-5p"	18
"hsa-let-7a-5p"	11
"hsa-let-7a-5p"	36
"hsa-let-7a-5p"	1531
"hsa-let-7a-5p"	2145
"hsa-let-7a-5p"	5413
"hsa-let-7a-5p"	183
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7b-5p"	5
"hsa-let-7b-5p"	2
"hsa-let-7b-5p"	449
"hsa-let-7b-5p"	5014
"hsa-let-7b-5p"	2178
"hsa-let-7b-5p"	5738
"hsa-let-7b-5p"	1624
"hsa-let-7b-5p"	2
"hsa-let-7b-5p"	1
"hsa-let-7b-5p"	2
"hsa-let-7b-5p"	1
"hsa-let-7c-5p"	6
"hsa-let-7c-5p"	7
"hsa-let-7c-5p"	10
"hsa-let-7c-5p"	16
"hsa-let-7c-5p"	107
"hsa-let-7c-5p"	120
"hsa-let-7c-5p"	847
"hsa-let-7c-5p"	81
"hsa-let-7c-5p"	2
"hsa-let-7d-5p"	1
"hsa-let-7d-5p"	28
"hsa-let-7d-5p"	33
"hsa-let-7d-5p"	121
"hsa-let-7d-5p"	11
"hsa-let-7e-5p"	1
"hsa-let-7e-5p"	1
"hsa-let-7e-5p"	2
"hsa-let-7e-5p"	49
"hsa-let-7e-5p"	120
"hsa-let-7e-5p"	447
"hsa-let-7e-5p"	45
"hsa-let-7e-5p"	6
"hsa-let-7f-5p"	2
"hsa-let-7f-5p"	3
"hsa-let-7f-5p"	13
"hsa-let-7f-5p"	277
"hsa-let-7f-5p"	775
"hsa-let-7f-5p"	2685
"hsa-let-7f-5p"	23
"hsa-let-7f-5p"	2
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	2
"hsa-let-7f-5p"	97
"hsa-let-7f-5p"	1
"hsa-let-7f-5p"	2
"hsa-let-7f-5p"	2710
"hsa-let-7f-5p"	2
"hsa-let-7f-5p"	794
"hsa-let-7f-5p"	2
"hsa-let-7f-5p"	267
"hsa-let-7f-5p"	11
"hsa-let-7f-5p"	4
"hsa-let-7f-5p"	1
"hsa-miR-15a-5p"	115
"hsa-miR-15a-5p"	81
"hsa-miR-15a-5p"	38
"hsa-miR-15a-5p"	40
"hsa-miR-15a-5p"	5
"hsa-miR-16-5p"	7
"hsa-miR-16-5p"	26
"hsa-miR-16-5p"	1
"hsa-miR-16-5p"	417
"hsa-miR-16-5p"	8
"hsa-miR-16-5p"	42
"hsa-miR-16-5p"	4
"hsa-miR-16-5p"	1
"hsa-miR-16-5p"	5
"hsa-miR-16-5p"	38
"hsa-miR-16-5p"	7
"hsa-miR-16-5p"	475
"hsa-miR-16-5p"	20
"hsa-miR-16-5p"	1
"hsa-miR-16-5p"	3
"hsa-miR-17-5p"	1
"hsa-miR-17-5p"	1
"hsa-miR-17-5p"	1
"hsa-miR-17-5p"	3
"hsa-miR-17-5p"	1
"hsa-miR-17-5p"	4
"hsa-miR-17-5p"	20
"hsa-miR-17-5p"	26
"hsa-miR-17-5p"	798
"hsa-miR-17-5p"	37
"hsa-miR-17-5p"	2
"hsa-miR-17-3p"	3
"hsa-miR-17-3p"	479
"hsa-miR-17-3p"	6
"hsa-miR-17-3p"	41
"hsa-miR-18a-5p"	2
"hsa-miR-18a-5p"	2
"hsa-miR-18a-5p"	7
"hsa-miR-18a-5p"	1
"hsa-miR-19a-3p"	1
"hsa-miR-19a-3p"	2
"hsa-miR-19a-3p"	2
"hsa-miR-19a-3p"	13
"hsa-miR-19a-3p"	37
"hsa-miR-19b-3p"	1
"hsa-miR-19b-3p"	3
"hsa-miR-19b-3p"	1
"hsa-miR-19b-3p"	34
"hsa-miR-19b-3p"	85
"hsa-miR-19b-3p"	1
"hsa-miR-19b-3p"	76
"hsa-miR-19b-3p"	1
"hsa-miR-19b-3p"	35
"hsa-miR-19b-3p"	3
"hsa-miR-20a-5p"	1
"hsa-miR-20a-5p"	1
"hsa-miR-20a-5p"	1
"hsa-miR-20a-5p"	7
"hsa-miR-20a-5p"	6
"hsa-miR-20a-5p"	873
"hsa-miR-20a-5p"	16
"hsa-miR-21-5p"	1
"hsa-miR-21-5p"	19
"hsa-miR-21-5p"	147
"hsa-miR-21-5p"	434
"hsa-miR-21-5p"	27
"hsa-miR-21-5p"	2
"hsa-miR-21-5p"	3
"hsa-miR-21-5p"	363
"hsa-miR-21-5p"	402
"hsa-miR-21-5p"	3149
"hsa-miR-21-5p"	117493
"hsa-miR-21-5p"	496581
"hsa-miR-21-5p"	119869
"hsa-miR-21-5p"	5147
"hsa-miR-21-5p"	10
"hsa-miR-21-5p"	72
"hsa-miR-21-5p"	34
"hsa-miR-21-5p"	26
"hsa-miR-21-5p"	9
"hsa-miR-21-5p"	18
"hsa-miR-21-5p"	172
"hsa-miR-21-5p"	12
"hsa-miR-21-5p"	4
"hsa-miR-21-5p"	5
"hsa-miR-21-5p"	1
"hsa-miR-21-5p"	1
"hsa-miR-21-5p"	1
"hsa-miR-21-5p"	3
"hsa-miR-21-5p"	4
"hsa-miR-21-5p"	3
"hsa-miR-21-5p"	9
"hsa-miR-21-5p"	1
"hsa-miR-21-5p"	1
"hsa-miR-21-5p"	6
"hsa-miR-21-5p"	2
"hsa-miR-21-5p"	2
"hsa-miR-21-5p"	2
"hsa-miR-21-5p"	1
"hsa-miR-21-5p"	2
"hsa-miR-21-5p"	1
"hsa-miR-21-5p"	2
"hsa-miR-21-5p"	2
"hsa-miR-21-5p"	4
"hsa-miR-21-5p"	1
"hsa-miR-21-5p"	1
"hsa-miR-22-3p"	4
"hsa-miR-22-3p"	3
"hsa-miR-22-3p"	23
"hsa-miR-22-3p"	1851
"hsa-miR-22-3p"	4
"hsa-miR-22-3p"	324
"hsa-miR-22-3p"	96821
"hsa-miR-22-3p"	18
"hsa-miR-22-3p"	227
"hsa-miR-22-3p"	140
"hsa-miR-22-3p"	7
"hsa-miR-22-3p"	6
"hsa-miR-22-3p"	1
"hsa-miR-22-3p"	3
"hsa-miR-23a-3p"	6
"hsa-miR-23a-3p"	7
"hsa-miR-23a-3p"	12
"hsa-miR-23a-3p"	632
"hsa-miR-23a-3p"	9
"hsa-miR-23a-3p"	1796
"hsa-miR-23a-3p"	7
"hsa-miR-23a-3p"	4
"hsa-miR-23a-3p"	1595
"hsa-miR-23a-3p"	10
"hsa-miR-23a-3p"	3
"hsa-miR-23a-3p"	847
"hsa-miR-23a-3p"	1
"hsa-miR-23a-3p"	142
"hsa-miR-23a-3p"	1
"hsa-miR-23a-3p"	142
"hsa-miR-23a-3p"	5
"hsa-miR-23a-3p"	6
"hsa-miR-23a-3p"	1
"hsa-miR-24-1-5p"	3
"hsa-miR-24-1-5p"	2
"hsa-miR-24-1-5p"	1
"hsa-miR-24-1-5p"	4
"hsa-miR-24-1-5p"	4
"hsa-miR-24-1-5p"	12
"hsa-miR-24-1-5p"	1
"hsa-miR-24-1-5p"	1
"hsa-miR-24-3p"	2
"hsa-miR-24-3p"	1
"hsa-miR-24-3p"	6
"hsa-miR-24-3p"	3
"hsa-miR-24-3p"	4
"hsa-miR-24-3p"	6
"hsa-miR-24-3p"	25
"hsa-miR-24-3p"	78
"hsa-miR-24-3p"	124
"hsa-miR-24-3p"	690
"hsa-miR-24-3p"	2
"hsa-miR-24-3p"	1
"hsa-miR-24-3p"	5
"hsa-miR-24-3p"	3
"hsa-miR-24-3p"	7
"hsa-miR-24-3p"	5
"hsa-miR-24-3p"	1
"hsa-miR-24-3p"	5
"hsa-miR-24-3p"	2
"hsa-miR-24-3p"	666
"hsa-miR-24-3p"	2
"hsa-miR-24-3p"	1
"hsa-miR-24-3p"	128
"hsa-miR-24-3p"	2
"hsa-miR-24-3p"	1
"hsa-miR-24-3p"	91
"hsa-miR-24-3p"	5
"hsa-miR-24-3p"	31
"hsa-miR-24-3p"	1
"hsa-miR-24-3p"	6
"hsa-miR-24-3p"	3
"hsa-miR-25-3p"	1
"hsa-miR-25-3p"	25
"hsa-miR-25-3p"	1
"hsa-miR-25-3p"	20
"hsa-miR-25-3p"	18164
"hsa-miR-25-3p"	1
"hsa-miR-25-3p"	1
"hsa-miR-25-3p"	2096
"hsa-miR-25-3p"	202
"hsa-miR-25-3p"	7
"hsa-miR-25-3p"	2
"hsa-miR-25-3p"	10
"hsa-miR-26a-5p"	4
"hsa-miR-26a-5p"	117
"hsa-miR-26a-5p"	740
"hsa-miR-26a-5p"	53
"hsa-miR-26a-5p"	421
"hsa-miR-26a-5p"	6
"hsa-miR-26a-5p"	102
"hsa-miR-26a-5p"	1
"hsa-miR-26a-5p"	1
"hsa-miR-26a-5p"	1
"hsa-miR-26a-5p"	3
"hsa-miR-26a-5p"	133
"hsa-miR-26a-5p"	1
"hsa-miR-26a-5p"	6
"hsa-miR-26a-5p"	1
"hsa-miR-26a-5p"	1
"hsa-miR-26a-5p"	426
"hsa-miR-26a-5p"	66
"hsa-miR-26a-5p"	1
"hsa-miR-26a-5p"	693
"hsa-miR-26a-5p"	111
"hsa-miR-26a-5p"	3
"hsa-miR-26a-5p"	1
"hsa-miR-26b-5p"	1
"hsa-miR-26b-5p"	2
"hsa-miR-26b-5p"	43
"hsa-miR-26b-5p"	81
"hsa-miR-26b-5p"	383
"hsa-miR-26b-5p"	27
"hsa-miR-26b-5p"	3
"hsa-miR-27a-3p"	4
"hsa-miR-27a-3p"	524
"hsa-miR-27a-3p"	1193
"hsa-miR-27a-3p"	31
"hsa-miR-27a-3p"	31
"hsa-miR-27a-3p"	6
"hsa-miR-28-5p"	1
"hsa-miR-28-5p"	4
"hsa-miR-28-5p"	78
"hsa-miR-28-5p"	45
"hsa-miR-28-5p"	4
"hsa-miR-29a-3p"	246
"hsa-miR-29a-3p"	7
"hsa-miR-29a-3p"	2277
"hsa-miR-29a-3p"	123
"hsa-miR-29a-3p"	7422
"hsa-miR-29a-3p"	1371
"hsa-miR-29a-3p"	868
"hsa-miR-29a-3p"	323
"hsa-miR-29a-3p"	499
"hsa-miR-29a-3p"	84
"hsa-miR-29a-3p"	16
"hsa-miR-29a-3p"	13
"hsa-miR-29a-3p"	1
"hsa-miR-29a-3p"	4
"hsa-miR-30a-5p"	1
"hsa-miR-30a-5p"	1
"hsa-miR-30a-5p"	6
"hsa-miR-30a-5p"	1
"hsa-miR-30a-5p"	77
"hsa-miR-30a-5p"	7030
"hsa-miR-30a-5p"	1
"hsa-miR-30a-5p"	1
"hsa-miR-30a-5p"	1
"hsa-miR-30a-5p"	21
"hsa-miR-30a-5p"	11368
"hsa-miR-30a-5p"	1
"hsa-miR-30a-5p"	70
"hsa-miR-30a-5p"	49356
"hsa-miR-30a-5p"	2
"hsa-miR-30a-5p"	2043
"hsa-miR-30a-5p"	214
"hsa-miR-30a-5p"	225
"hsa-miR-30a-3p"	7
"hsa-miR-30a-3p"	1
"hsa-miR-30a-3p"	1085
"hsa-miR-30a-3p"	120
"hsa-miR-30a-3p"	7
"hsa-miR-30a-3p"	924
"hsa-miR-30a-3p"	3317
"hsa-miR-30a-3p"	2
"hsa-miR-30a-3p"	726
"hsa-miR-30a-3p"	2693
"hsa-miR-30a-3p"	1
"hsa-miR-30a-3p"	1
"hsa-miR-30a-3p"	154
"hsa-miR-30a-3p"	881
"hsa-miR-30a-3p"	17
"hsa-miR-30a-3p"	155
"hsa-miR-30a-3p"	6
"hsa-miR-30a-3p"	37
"hsa-miR-30a-3p"	2
"hsa-miR-30a-3p"	1
"hsa-miR-30a-3p"	3
"hsa-miR-30a-3p"	1
"hsa-miR-32-5p"	1
"hsa-miR-32-5p"	3
"hsa-miR-32-5p"	1
"hsa-miR-32-5p"	35
"hsa-miR-32-5p"	1
"hsa-miR-32-5p"	38
"hsa-miR-32-5p"	1
"hsa-miR-32-5p"	4
"hsa-miR-33a-5p"	1
"hsa-miR-33a-5p"	25
"hsa-miR-33a-5p"	24
"hsa-miR-92a-3p"	4
"hsa-miR-92a-3p"	1
"hsa-miR-92a-3p"	3
"hsa-miR-92a-3p"	4
"hsa-miR-92a-3p"	98
"hsa-miR-92a-3p"	9088
"hsa-miR-92a-3p"	2026
"hsa-miR-92a-3p"	35
"hsa-miR-92a-3p"	7
"hsa-miR-92a-3p"	1
"hsa-miR-92a-3p"	60
"hsa-miR-92a-3p"	17
"hsa-miR-92a-3p"	1
"hsa-miR-92a-3p"	2
"hsa-miR-92a-3p"	1
"hsa-miR-92a-3p"	1
"hsa-miR-92a-3p"	1
"hsa-miR-92a-3p"	1
"hsa-miR-92a-3p"	132
"hsa-miR-92a-3p"	60
"hsa-miR-92a-3p"	9108
"hsa-miR-92a-3p"	95
"hsa-miR-92a-3p"	12
"hsa-miR-92a-3p"	2
"hsa-miR-93-5p"	6
"hsa-miR-93-5p"	281
"hsa-miR-93-5p"	71
"hsa-miR-93-5p"	11317
"hsa-miR-93-5p"	93
"hsa-miR-93-5p"	181
"hsa-miR-93-5p"	23
"hsa-miR-93-5p"	2
"hsa-miR-95-3p"	2
"hsa-miR-95-3p"	1
"hsa-miR-96-5p"	28
"hsa-miR-96-5p"	17
"hsa-miR-96-5p"	14
"hsa-miR-98-5p"	11
"hsa-miR-98-5p"	11
"hsa-miR-98-5p"	7
"hsa-miR-98-5p"	3
"hsa-miR-99a-5p"	2
"hsa-miR-99a-5p"	1
"hsa-miR-99a-5p"	1
"hsa-miR-99a-5p"	9
"hsa-miR-99a-5p"	251
"hsa-miR-99a-5p"	62
"hsa-miR-100-5p"	2
"hsa-miR-100-5p"	4
"hsa-miR-100-5p"	522
"hsa-miR-100-5p"	9
"hsa-miR-100-5p"	2097
"hsa-miR-100-5p"	18
"hsa-miR-100-5p"	2
"hsa-miR-100-5p"	5
"hsa-miR-100-5p"	1
"hsa-miR-101-3p"	2
"hsa-miR-101-3p"	553
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	875
"hsa-miR-101-3p"	186
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	4257
"hsa-miR-101-3p"	1741
"hsa-miR-101-3p"	1
"hsa-miR-101-3p"	19
"hsa-miR-101-3p"	20
