"X4b31b50d.f2ba.4f7e.a49e.0331ea38674a.mirbase21.isoforms.quantification.txt"	"X7888df2c.7336.4256.a863.4a38cf4471c3.mirbase21.isoforms.quantification.txt"	"X88ef0233.d4f6.43ee.aa5f.2bb5089072d5.mirbase21.isoforms.quantification.txt"
"hsa-let-7a-2-3p"	247	44	5
"hsa-let-7a-3p"	127	106	25
"hsa-let-7a-5p"	127750	83642	27647
"hsa-let-7b-3p"	96	94	20
"hsa-let-7b-5p"	90602	33702	15016
"hsa-let-7c-3p"	17	59	5
"hsa-let-7c-5p"	5627	4999	1196
"hsa-let-7d-3p"	1168	1888	368
"hsa-let-7d-5p"	484	880	194
"hsa-let-7e-3p"	22	41	2
"hsa-let-7e-5p"	3954	6946	671
"hsa-let-7f-1-3p"	15	18	2
"hsa-let-7f-2-3p"	3	5	1
"hsa-let-7f-5p"	21129	21067	7675
"hsa-let-7g-3p"	139	97	59
"hsa-let-7g-5p"	2056	2782	831
"hsa-let-7i-3p"	327	342	81
"hsa-let-7i-5p"	1723	2062	488
"hsa-miR-1"	26	48	11
"hsa-miR-100-3p"	12	1	1
"hsa-miR-100-5p"	59799	37326	2660
"hsa-miR-101-3p"	34484	66521	15275
"hsa-miR-101-5p"	11	50	5
"hsa-miR-103a-2-5p"	2	4	4
"hsa-miR-103a-3p"	56865	71996	26764
"hsa-miR-105-5p"	0	5	0
"hsa-miR-106a-5p"	7	61	16
"hsa-miR-106b-3p"	927	1389	639
"hsa-miR-106b-5p"	553	1221	498
"hsa-miR-107"	216	459	96
"hsa-miR-10a-3p"	15	15	2
"hsa-miR-10a-5p"	74818	141935	17054
"hsa-miR-10b-3p"	28	9	0
"hsa-miR-10b-5p"	39765	26820	227
"hsa-miR-1179"	1	1	0
"hsa-miR-1180-3p"	59	109	18
"hsa-miR-1185-1-3p"	0	0	1
"hsa-miR-1185-5p"	1	0	2
"hsa-miR-1193"	2	0	0
"hsa-miR-122-3p"	15	38	38
"hsa-miR-122-5p"	1373	5106	11916
"hsa-miR-1224-5p"	0	3	13
"hsa-miR-1226-3p"	1	3	1
"hsa-miR-1226-5p"	0	0	1
"hsa-miR-1227-3p"	1	1	0
"hsa-miR-1228-3p"	3	1	1
"hsa-miR-1228-5p"	4	5	0
"hsa-miR-1229-3p"	0	4	0
"hsa-miR-1234-3p"	1	1	0
"hsa-miR-1237-3p"	0	1	0
"hsa-miR-1243"	1	0	0
"hsa-miR-1245a"	1	1	0
"hsa-miR-1247-3p"	76	45	2
"hsa-miR-1247-5p"	115	31	7
"hsa-miR-1248"	1	0	0
"hsa-miR-1249"	10	15	2
"hsa-miR-1251-5p"	5	0	0
"hsa-miR-1254"	1	2	10
"hsa-miR-1258"	1	1	3
"hsa-miR-125a-3p"	24	18	2
"hsa-miR-125a-5p"	2200	3470	460
"hsa-miR-125b-1-3p"	8	2	2
"hsa-miR-125b-2-3p"	56	49	13
"hsa-miR-125b-5p"	5005	2991	593
"hsa-miR-126-3p"	11460	19493	5520
"hsa-miR-126-5p"	834	1200	441
"hsa-miR-1262"	5	2	1
"hsa-miR-1266-5p"	17	43	26
"hsa-miR-1269a"	18	14	0
"hsa-miR-127-3p"	6023	1738	497
"hsa-miR-127-5p"	1357	793	250
"hsa-miR-1270"	12	15	0
"hsa-miR-1271-5p"	13	1	1
"hsa-miR-1273h-3p"	1	0	0
"hsa-miR-1277-3p"	3	7	2
"hsa-miR-1278"	0	0	1
"hsa-miR-128-1-5p"	6	31	6
"hsa-miR-128-3p"	606	866	173
"hsa-miR-1283"	0	0	1
"hsa-miR-1284"	1	3	0
"hsa-miR-1286"	0	1	0
"hsa-miR-1287-3p"	6	23	13
"hsa-miR-1287-5p"	64	194	49
"hsa-miR-1288-3p"	3	1	0
"hsa-miR-129-5p"	4	1	0
"hsa-miR-1291"	1	1	3
"hsa-miR-1292-3p"	0	1	0
"hsa-miR-1292-5p"	0	3	2
"hsa-miR-1293"	3	1	0
"hsa-miR-1294"	2	0	0
"hsa-miR-1295b-5p"	2	0	4
"hsa-miR-1296-5p"	16	19	0
"hsa-miR-1301-3p"	32	58	18
"hsa-miR-1304-3p"	2	2	0
"hsa-miR-1304-5p"	1	0	2
"hsa-miR-1306-3p"	5	11	2
"hsa-miR-1306-5p"	30	45	10
"hsa-miR-1307-3p"	3098	5174	2262
"hsa-miR-1307-5p"	850	1470	508
"hsa-miR-130a-3p"	236	560	117
"hsa-miR-130a-5p"	3	6	3
"hsa-miR-130b-3p"	62	70	21
"hsa-miR-130b-5p"	83	47	25
"hsa-miR-132-3p"	495	672	248
"hsa-miR-132-5p"	6	7	2
"hsa-miR-133a-3p"	16	36	13
"hsa-miR-133a-5p"	0	0	1
"hsa-miR-133b"	0	5	1
"hsa-miR-134-3p"	14	0	2
"hsa-miR-134-5p"	3541	547	235
"hsa-miR-1343-3p"	3	1	1
"hsa-miR-135a-3p"	0	0	1
"hsa-miR-135a-5p"	9	2	0
"hsa-miR-135b-3p"	2	3	0
"hsa-miR-135b-5p"	127	418	2
"hsa-miR-136-3p"	95	38	27
"hsa-miR-136-5p"	257	128	50
"hsa-miR-137"	34	1	12
"hsa-miR-138-1-3p"	8	0	0
"hsa-miR-138-5p"	44	2	13
"hsa-miR-139-3p"	46	38	18
"hsa-miR-139-5p"	225	255	193
"hsa-miR-140-3p"	4502	5070	1232
"hsa-miR-140-5p"	188	323	75
"hsa-miR-141-3p"	79	84	23
"hsa-miR-141-5p"	49	48	8
"hsa-miR-142-3p"	14466	7447	1787
"hsa-miR-142-5p"	712	298	53
"hsa-miR-143-3p"	175849	332879	27758
"hsa-miR-143-5p"	228	328	66
"hsa-miR-144-3p"	2	44	7
"hsa-miR-144-5p"	52	344	80
"hsa-miR-145-3p"	144	280	25
"hsa-miR-145-5p"	6145	8297	1495
"hsa-miR-1468-5p"	26	76	8
"hsa-miR-146a-3p"	9	0	0
"hsa-miR-146a-5p"	731	385	72
"hsa-miR-146b-3p"	484	305	196
"hsa-miR-146b-5p"	3022	1970	1459
"hsa-miR-147b"	6	2	0
"hsa-miR-148a-3p"	52306	124825	23902
"hsa-miR-148a-5p"	63	137	20
"hsa-miR-148b-3p"	542	1001	147
"hsa-miR-148b-5p"	6	4	2
"hsa-miR-149-3p"	1	2	0
