"miRNA"	"4b31b50d-f2ba-4f7e-a49e-0331ea38674a.mirbase21.isoforms.quantification.txt"
"hsa-let-7a-2-3p"	247
"hsa-let-7a-3p"	127
"hsa-let-7a-5p"	127750
"hsa-let-7b-3p"	96
"hsa-let-7b-5p"	90602
"hsa-let-7c-3p"	17
"hsa-let-7c-5p"	5627
"hsa-let-7d-3p"	1168
"hsa-let-7d-5p"	484
"hsa-let-7e-3p"	22
"hsa-let-7e-5p"	3954
"hsa-let-7f-1-3p"	15
"hsa-let-7f-2-3p"	3
"hsa-let-7f-5p"	21129
"hsa-let-7g-3p"	139
"hsa-let-7g-5p"	2056
"hsa-let-7i-3p"	327
"hsa-let-7i-5p"	1723
"hsa-miR-1"	26
"hsa-miR-100-3p"	12
"hsa-miR-100-5p"	59799
"hsa-miR-101-3p"	34484
"hsa-miR-101-5p"	11
"hsa-miR-103a-2-5p"	2
"hsa-miR-103a-3p"	56865
"hsa-miR-106a-5p"	7
"hsa-miR-106b-3p"	927
"hsa-miR-106b-5p"	553
"hsa-miR-107"	216
"hsa-miR-10a-3p"	15
"hsa-miR-10a-5p"	74818
"hsa-miR-10b-3p"	28
"hsa-miR-10b-5p"	39765
"hsa-miR-1179"	1
"hsa-miR-1180-3p"	59
"hsa-miR-1185-5p"	1
"hsa-miR-1193"	2
"hsa-miR-122-3p"	15
"hsa-miR-122-5p"	1373
"hsa-miR-1226-3p"	1
"hsa-miR-1227-3p"	1
"hsa-miR-1228-3p"	3
"hsa-miR-1228-5p"	4
"hsa-miR-1234-3p"	1
"hsa-miR-1243"	1
"hsa-miR-1245a"	1
"hsa-miR-1247-3p"	76
"hsa-miR-1247-5p"	115
"hsa-miR-1248"	1
"hsa-miR-1249"	10
"hsa-miR-1251-5p"	5
"hsa-miR-1254"	1
"hsa-miR-1258"	1
"hsa-miR-125a-3p"	24
"hsa-miR-125a-5p"	2200
"hsa-miR-125b-1-3p"	8
"hsa-miR-125b-2-3p"	56
"hsa-miR-125b-5p"	5005
"hsa-miR-126-3p"	11460
"hsa-miR-126-5p"	834
"hsa-miR-1262"	5
"hsa-miR-1266-5p"	17
"hsa-miR-1269a"	18
"hsa-miR-127-3p"	6023
"hsa-miR-127-5p"	1357
"hsa-miR-1270"	12
"hsa-miR-1271-5p"	13
"hsa-miR-1273h-3p"	1
"hsa-miR-1277-3p"	3
"hsa-miR-128-1-5p"	6
"hsa-miR-128-3p"	606
"hsa-miR-1284"	1
"hsa-miR-1287-3p"	6
"hsa-miR-1287-5p"	64
"hsa-miR-1288-3p"	3
"hsa-miR-129-5p"	4
"hsa-miR-1291"	1
"hsa-miR-1293"	3
"hsa-miR-1294"	2
"hsa-miR-1295b-5p"	2
"hsa-miR-1296-5p"	16
"hsa-miR-1301-3p"	32
"hsa-miR-1304-3p"	2
"hsa-miR-1304-5p"	1
"hsa-miR-1306-3p"	5
"hsa-miR-1306-5p"	30
"hsa-miR-1307-3p"	3098
"hsa-miR-1307-5p"	850
"hsa-miR-130a-3p"	236
"hsa-miR-130a-5p"	3
"hsa-miR-130b-3p"	62
"hsa-miR-130b-5p"	83
"hsa-miR-132-3p"	495
"hsa-miR-132-5p"	6
"hsa-miR-133a-3p"	16
"hsa-miR-134-3p"	14
"hsa-miR-134-5p"	3541
"hsa-miR-1343-3p"	3
"hsa-miR-135a-5p"	9
"hsa-miR-135b-3p"	2
"hsa-miR-135b-5p"	127
"hsa-miR-136-3p"	95
"hsa-miR-136-5p"	257
"hsa-miR-137"	34
"hsa-miR-138-1-3p"	8
"hsa-miR-138-5p"	44
"hsa-miR-139-3p"	46
"hsa-miR-139-5p"	225
"hsa-miR-140-3p"	4502
"hsa-miR-140-5p"	188
"hsa-miR-141-3p"	79
"hsa-miR-141-5p"	49
"hsa-miR-142-3p"	14466
"hsa-miR-142-5p"	712
"hsa-miR-143-3p"	175849
"hsa-miR-143-5p"	228
"hsa-miR-144-3p"	2
"hsa-miR-144-5p"	52
"hsa-miR-145-3p"	144
"hsa-miR-145-5p"	6145
"hsa-miR-1468-5p"	26
"hsa-miR-146a-3p"	9
"hsa-miR-146a-5p"	731
"hsa-miR-146b-3p"	484
"hsa-miR-146b-5p"	3022
"hsa-miR-147b"	6
"hsa-miR-148a-3p"	52306
"hsa-miR-148a-5p"	63
"hsa-miR-148b-3p"	542
"hsa-miR-148b-5p"	6
"hsa-miR-149-3p"	1
"hsa-miR-149-5p"	39
"hsa-miR-150-3p"	5
"hsa-miR-150-5p"	2857
"hsa-miR-151a-3p"	6542
"hsa-miR-151a-5p"	415
"hsa-miR-151b"	3
"hsa-miR-152-3p"	761
"hsa-miR-152-5p"	3
"hsa-miR-153-3p"	7
