"miRNA"	"7888df2c-7336-4256-a863-4a38cf4471c3.mirbase21.isoforms.quantification.txt"
"hsa-let-7a-2-3p"	44
"hsa-let-7a-3p"	106
"hsa-let-7a-5p"	83642
"hsa-let-7b-3p"	94
"hsa-let-7b-5p"	33702
"hsa-let-7c-3p"	59
"hsa-let-7c-5p"	4999
"hsa-let-7d-3p"	1888
"hsa-let-7d-5p"	880
"hsa-let-7e-3p"	41
"hsa-let-7e-5p"	6946
"hsa-let-7f-1-3p"	18
"hsa-let-7f-2-3p"	5
"hsa-let-7f-5p"	21067
"hsa-let-7g-3p"	97
"hsa-let-7g-5p"	2782
"hsa-let-7i-3p"	342
"hsa-let-7i-5p"	2062
"hsa-miR-1"	48
"hsa-miR-100-3p"	1
"hsa-miR-100-5p"	37326
"hsa-miR-101-3p"	66521
"hsa-miR-101-5p"	50
"hsa-miR-103a-2-5p"	4
"hsa-miR-103a-3p"	71996
"hsa-miR-105-5p"	5
"hsa-miR-106a-5p"	61
"hsa-miR-106b-3p"	1389
"hsa-miR-106b-5p"	1221
"hsa-miR-107"	459
"hsa-miR-10a-3p"	15
"hsa-miR-10a-5p"	141935
"hsa-miR-10b-3p"	9
"hsa-miR-10b-5p"	26820
"hsa-miR-1179"	1
"hsa-miR-1180-3p"	109
"hsa-miR-122-3p"	38
"hsa-miR-122-5p"	5106
"hsa-miR-1224-5p"	3
"hsa-miR-1226-3p"	3
"hsa-miR-1227-3p"	1
"hsa-miR-1228-3p"	1
"hsa-miR-1228-5p"	5
"hsa-miR-1229-3p"	4
"hsa-miR-1234-3p"	1
"hsa-miR-1237-3p"	1
"hsa-miR-1245a"	1
"hsa-miR-1247-3p"	45
"hsa-miR-1247-5p"	31
"hsa-miR-1249"	15
"hsa-miR-1254"	2
"hsa-miR-1258"	1
"hsa-miR-125a-3p"	18
"hsa-miR-125a-5p"	3470
"hsa-miR-125b-1-3p"	2
"hsa-miR-125b-2-3p"	49
"hsa-miR-125b-5p"	2991
"hsa-miR-126-3p"	19493
"hsa-miR-126-5p"	1200
"hsa-miR-1262"	2
"hsa-miR-1266-5p"	43
"hsa-miR-1269a"	14
"hsa-miR-127-3p"	1738
"hsa-miR-127-5p"	793
"hsa-miR-1270"	15
"hsa-miR-1271-5p"	1
"hsa-miR-1277-3p"	7
"hsa-miR-128-1-5p"	31
"hsa-miR-128-3p"	866
"hsa-miR-1284"	3
"hsa-miR-1286"	1
"hsa-miR-1287-3p"	23
"hsa-miR-1287-5p"	194
"hsa-miR-1288-3p"	1
"hsa-miR-129-5p"	1
"hsa-miR-1291"	1
"hsa-miR-1292-3p"	1
"hsa-miR-1292-5p"	3
"hsa-miR-1293"	1
"hsa-miR-1296-5p"	19
"hsa-miR-1301-3p"	58
"hsa-miR-1304-3p"	2
"hsa-miR-1306-3p"	11
"hsa-miR-1306-5p"	45
"hsa-miR-1307-3p"	5174
"hsa-miR-1307-5p"	1470
"hsa-miR-130a-3p"	560
"hsa-miR-130a-5p"	6
"hsa-miR-130b-3p"	70
"hsa-miR-130b-5p"	47
"hsa-miR-132-3p"	672
"hsa-miR-132-5p"	7
"hsa-miR-133a-3p"	36
"hsa-miR-133b"	5
"hsa-miR-134-5p"	547
"hsa-miR-1343-3p"	1
"hsa-miR-135a-5p"	2
"hsa-miR-135b-3p"	3
"hsa-miR-135b-5p"	418
"hsa-miR-136-3p"	38
"hsa-miR-136-5p"	128
"hsa-miR-137"	1
"hsa-miR-138-5p"	2
"hsa-miR-139-3p"	38
"hsa-miR-139-5p"	255
"hsa-miR-140-3p"	5070
"hsa-miR-140-5p"	323
"hsa-miR-141-3p"	84
"hsa-miR-141-5p"	48
"hsa-miR-142-3p"	7447
"hsa-miR-142-5p"	298
"hsa-miR-143-3p"	332879
"hsa-miR-143-5p"	328
"hsa-miR-144-3p"	44
"hsa-miR-144-5p"	344
"hsa-miR-145-3p"	280
"hsa-miR-145-5p"	8297
"hsa-miR-1468-5p"	76
"hsa-miR-146a-5p"	385
"hsa-miR-146b-3p"	305
"hsa-miR-146b-5p"	1970
"hsa-miR-147b"	2
"hsa-miR-148a-3p"	124825
"hsa-miR-148a-5p"	137
"hsa-miR-148b-3p"	1001
"hsa-miR-148b-5p"	4
"hsa-miR-149-3p"	2
"hsa-miR-149-5p"	160
"hsa-miR-150-3p"	16
"hsa-miR-150-5p"	4096
"hsa-miR-151a-3p"	9221
"hsa-miR-151a-5p"	546
"hsa-miR-151b"	11
"hsa-miR-152-3p"	1260
"hsa-miR-152-5p"	1
"hsa-miR-153-3p"	11
"hsa-miR-153-5p"	130
"hsa-miR-1537-3p"	1
"hsa-miR-1538"	1
"hsa-miR-154-3p"	6
"hsa-miR-154-5p"	13
"hsa-miR-155-3p"	1
"hsa-miR-155-5p"	642
"hsa-miR-15a-3p"	1
"hsa-miR-15a-5p"	559
"hsa-miR-15b-3p"	220
"hsa-miR-15b-5p"	1277
"hsa-miR-16-1-3p"	25
"hsa-miR-16-2-3p"	58
"hsa-miR-16-5p"	2497
"hsa-miR-17-3p"	1164
"hsa-miR-17-5p"	1204
"hsa-miR-181a-2-3p"	4272
"hsa-miR-181a-3p"	603
"hsa-miR-181a-5p"	9370
"hsa-miR-181b-3p"	46
"hsa-miR-181b-5p"	2590
"hsa-miR-181c-3p"	130
"hsa-miR-181c-5p"	185
"hsa-miR-181d-5p"	51
"hsa-miR-182-3p"	1
"hsa-miR-182-5p"	52852
"hsa-miR-183-3p"	3
"hsa-miR-183-5p"	21600
"hsa-miR-184"	421
"hsa-miR-185-3p"	45
"hsa-miR-185-5p"	492
"hsa-miR-186-3p"	1
"hsa-miR-186-5p"	904
"hsa-miR-187-3p"	280
"hsa-miR-188-3p"	3
"hsa-miR-188-5p"	5
"hsa-miR-18a-3p"	3
"hsa-miR-18a-5p"	38
"hsa-miR-18b-5p"	3
"hsa-miR-190a-3p"	2
"hsa-miR-190a-5p"	7
"hsa-miR-191-3p"	1
"hsa-miR-191-5p"	1258
"hsa-miR-192-3p"	50
"hsa-miR-192-5p"	10873
"hsa-miR-193a-3p"	91
"hsa-miR-193a-5p"	1840
"hsa-miR-193b-3p"	667
"hsa-miR-193b-5p"	22
"hsa-miR-194-3p"	30
"hsa-miR-194-5p"	4952
"hsa-miR-195-3p"	19
"hsa-miR-195-5p"	178
"hsa-miR-196a-5p"	5
"hsa-miR-196b-5p"	31
"hsa-miR-197-3p"	1878
"hsa-miR-1976"	22
"hsa-miR-199a-3p"	17746
"hsa-miR-199a-5p"	7544
"hsa-miR-199b-3p"	17724
"hsa-miR-199b-5p"	735
"hsa-miR-19a-3p"	62
"hsa-miR-19b-1-5p"	31
"hsa-miR-19b-3p"	307
