"miRNA"	"Count"
"hsa-let-7a-5p"	4
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	135
"hsa-let-7a-5p"	5995
"hsa-let-7a-5p"	7169
"hsa-let-7a-5p"	14234
"hsa-let-7a-5p"	304
"hsa-let-7a-5p"	4
"hsa-let-7a-5p"	5
"hsa-let-7a-5p"	9
"hsa-let-7a-3p"	1
"hsa-let-7a-3p"	10
"hsa-let-7a-3p"	26
"hsa-let-7a-3p"	9
"hsa-let-7a-3p"	1
"hsa-let-7a-3p"	1
"hsa-let-7a-3p"	1
"hsa-let-7a-3p"	1
"hsa-let-7a-3p"	1
"hsa-let-7a-2-3p"	1
"hsa-let-7a-2-3p"	27
"hsa-let-7a-2-3p"	14
"hsa-let-7a-2-3p"	2
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	336
"hsa-let-7a-5p"	3
"hsa-let-7a-5p"	5
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	14044
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	6
"hsa-let-7a-5p"	7170
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	5986
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	162
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	34
"hsa-let-7a-5p"	64
"hsa-let-7a-5p"	25
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	147
"hsa-let-7a-5p"	6070
"hsa-let-7a-5p"	7055
"hsa-let-7a-5p"	14322
"hsa-let-7a-5p"	327
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	2
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	5
"hsa-let-7a-5p"	1
"hsa-let-7a-5p"	1
"hsa-let-7a-3p"	16
"hsa-let-7a-3p"	25
"hsa-let-7a-3p"	11
"hsa-let-7a-3p"	1
"hsa-let-7a-3p"	1
"hsa-let-7a-3p"	1
"hsa-let-7b-5p"	14
"hsa-let-7b-5p"	49
"hsa-let-7b-5p"	765
"hsa-let-7b-5p"	13908
"hsa-let-7b-5p"	5383
"hsa-let-7b-5p"	11264
"hsa-let-7b-5p"	2292
"hsa-let-7b-5p"	2
"hsa-let-7b-5p"	1
"hsa-let-7b-5p"	2
"hsa-let-7b-5p"	5
"hsa-let-7b-5p"	2
"hsa-let-7b-5p"	1
"hsa-let-7b-5p"	2
"hsa-let-7b-5p"	5
"hsa-let-7b-5p"	3
"hsa-let-7b-5p"	2
"hsa-let-7b-5p"	1
"hsa-let-7b-5p"	1
"hsa-let-7b-3p"	1
"hsa-let-7b-3p"	17
"hsa-let-7b-3p"	74
"hsa-let-7b-3p"	1
"hsa-let-7b-3p"	1
"hsa-let-7c-5p"	1
"hsa-let-7c-5p"	16
"hsa-let-7c-5p"	14
"hsa-let-7c-5p"	18
"hsa-let-7c-5p"	1
"hsa-let-7c-5p"	184
"hsa-let-7c-5p"	912
"hsa-let-7c-5p"	773
"hsa-let-7c-5p"	2986
"hsa-let-7c-5p"	84
"hsa-let-7c-5p"	1
"hsa-let-7c-5p"	7
"hsa-let-7c-5p"	1
"hsa-let-7c-5p"	1
"hsa-let-7c-3p"	1
"hsa-let-7c-3p"	1
"hsa-let-7c-3p"	3
"hsa-let-7c-3p"	16
"hsa-let-7c-3p"	38
"hsa-let-7d-5p"	1
"hsa-let-7d-5p"	1
"hsa-let-7d-5p"	156
"hsa-let-7d-5p"	200
"hsa-let-7d-5p"	482
"hsa-let-7d-5p"	35
"hsa-let-7d-5p"	4
"hsa-let-7d-5p"	1
"hsa-let-7d-3p"	3
"hsa-let-7d-3p"	1
"hsa-let-7d-3p"	14
"hsa-let-7d-3p"	344
