"miRNA"	"Count"
"hsa-let-7a-5p"	1.017332
"hsa-let-7a-5p"	1.017332
"hsa-let-7a-5p"	1.525997
"hsa-let-7a-5p"	49.086246
"hsa-let-7a-5p"	1892.236616
"hsa-let-7a-5p"	2444.393295
"hsa-let-7a-5p"	6255.317147
"hsa-let-7a-5p"	158.958049
"hsa-let-7a-5p"	3.051995
"hsa-let-7a-5p"	2.034663
"hsa-let-7a-5p"	0.508666
"hsa-let-7a-5p"	2.797662
"hsa-let-7a-5p"	0.254333
"hsa-let-7a-5p"	1.525997
"hsa-let-7a-5p"	0.254333
"hsa-let-7a-5p"	148.021735
"hsa-let-7a-5p"	0.254333
"hsa-let-7a-5p"	3.56066
"hsa-let-7a-5p"	0.508666
"hsa-let-7a-5p"	6267.779458
"hsa-let-7a-5p"	6.358322
"hsa-let-7a-5p"	0.254333
"hsa-let-7a-5p"	0.508666
"hsa-let-7a-5p"	2474.404575
"hsa-let-7a-5p"	0.508666
"hsa-let-7a-5p"	1880.028638
"hsa-let-7a-5p"	0.508666
"hsa-let-7a-5p"	48.068914
"hsa-let-7a-5p"	0.254333
"hsa-let-7a-5p"	0.254333
"hsa-let-7a-5p"	0.508666
"hsa-let-7a-5p"	0.762999
"hsa-let-7a-5p"	13.479643
"hsa-let-7a-5p"	17.803301
"hsa-let-7a-5p"	6.866988
"hsa-let-7a-5p"	43.999588
"hsa-let-7a-5p"	1896.051609
"hsa-let-7a-5p"	2490.427546
"hsa-let-7a-5p"	6228.357862
"hsa-let-7a-5p"	139.374417
"hsa-let-7a-5p"	0.762999
"hsa-let-7a-5p"	1.78033
"hsa-let-7a-5p"	0.508666
"hsa-let-7a-5p"	0.254333
"hsa-let-7a-5p"	0.508666
"hsa-let-7a-5p"	3.56066
"hsa-let-7a-5p"	0.254333
"hsa-let-7a-5p"	0.254333
"hsa-let-7a-5p"	0.254333
"hsa-let-7b-5p"	0.254333
"hsa-let-7b-5p"	9.410317
"hsa-let-7b-5p"	9.918982
"hsa-let-7b-5p"	610.653241
"hsa-let-7b-5p"	7873.128587
"hsa-let-7b-5p"	4320.60694
"hsa-let-7b-5p"	8724.889397
"hsa-let-7b-5p"	1482.252016
"hsa-let-7b-5p"	1.271664
"hsa-let-7b-5p"	2.034663
"hsa-let-7b-5p"	0.762999
"hsa-let-7b-5p"	1.271664
"hsa-let-7b-5p"	0.254333
"hsa-let-7b-5p"	0.508666
"hsa-let-7b-5p"	0.762999
"hsa-let-7b-5p"	1.525997
"hsa-let-7b-5p"	1.525997
"hsa-let-7b-5p"	0.254333
"hsa-let-7b-5p"	0.762999
"hsa-let-7b-5p"	0.254333
"hsa-let-7b-5p"	0.254333
"hsa-let-7b-5p"	0.508666
"hsa-let-7c-5p"	0.254333
"hsa-let-7c-5p"	0.254333
"hsa-let-7c-5p"	0.762999
"hsa-let-7c-5p"	7.375653
"hsa-let-7c-5p"	4.577992
"hsa-let-7c-5p"	5.595323
"hsa-let-7c-5p"	43.236589
"hsa-let-7c-5p"	265.014859
"hsa-let-7c-5p"	235.512245
"hsa-let-7c-5p"	826.581855
"hsa-let-7c-5p"	39.167263
"hsa-let-7c-5p"	0.508666
"hsa-let-7c-5p"	0.254333
"hsa-let-7c-5p"	0.508666
"hsa-let-7c-5p"	0.508666
"hsa-let-7c-5p"	0.254333
"hsa-let-7c-5p"	0.762999
"hsa-let-7d-5p"	0.254333
"hsa-let-7d-5p"	0.254333
"hsa-let-7d-5p"	20.855296
"hsa-let-7d-5p"	23.398625
"hsa-let-7d-5p"	72.230537
"hsa-let-7d-5p"	5.34099
"hsa-let-7d-5p"	0.762999
"hsa-let-7e-5p"	0.508666
"hsa-let-7e-5p"	2.288996
"hsa-let-7e-5p"	3.56066
"hsa-let-7e-5p"	90.796838
"hsa-let-7e-5p"	306.979784
"hsa-let-7e-5p"	584.456955
"hsa-let-7e-5p"	15.259973
"hsa-let-7e-5p"	1.78033
"hsa-let-7f-5p"	0.254333
"hsa-let-7f-5p"	0.508666
"hsa-let-7f-5p"	3.306327
"hsa-let-7f-5p"	6.103989
"hsa-let-7f-5p"	214.656949
"hsa-let-7f-5p"	682.883779
"hsa-let-7f-5p"	1767.867838
"hsa-let-7f-5p"	8.138652
"hsa-let-7f-5p"	0.254333
"hsa-let-7f-5p"	0.254333
"hsa-let-7f-5p"	0.254333
"hsa-let-7f-5p"	0.762999
"hsa-let-7f-5p"	1.525997
"hsa-let-7f-5p"	1.525997
"hsa-let-7f-5p"	0.254333
"hsa-let-7f-5p"	0.254333
"hsa-let-7f-5p"	51.120909
"hsa-let-7f-5p"	0.254333
"hsa-let-7f-5p"	1765.578843
"hsa-let-7f-5p"	0.762999
"hsa-let-7f-5p"	646.005511
"hsa-let-7f-5p"	0.254333
"hsa-let-7f-5p"	211.096289
"hsa-let-7f-5p"	0.254333
"hsa-let-7f-5p"	3.56066
"hsa-let-7f-5p"	4.323659
"hsa-let-7f-5p"	1.525997
"hsa-let-7f-5p"	0.254333
"hsa-miR-15a-5p"	0.254333
"hsa-miR-15a-5p"	56.716232
"hsa-miR-15a-5p"	48.323247
"hsa-miR-15a-5p"	21.109629
"hsa-miR-15a-5p"	0.254333
"hsa-miR-15a-5p"	38.404265
"hsa-miR-15a-5p"	0.254333
"hsa-miR-15a-5p"	6.103989
"hsa-miR-15a-5p"	0.508666
"hsa-miR-16-5p"	2.034663
"hsa-miR-16-5p"	7.375653
"hsa-miR-16-5p"	1.271664
"hsa-miR-16-5p"	0.508666
"hsa-miR-16-5p"	0.254333
"hsa-miR-16-5p"	152.599727
"hsa-miR-16-5p"	4.832325
"hsa-miR-16-5p"	17.294636
"hsa-miR-16-5p"	1.525997
"hsa-miR-16-5p"	1.271664
"hsa-miR-16-5p"	17.548969
"hsa-miR-16-5p"	4.323659
"hsa-miR-16-5p"	162.518709
"hsa-miR-16-5p"	6.358322
"hsa-miR-16-5p"	0.254333
"hsa-miR-16-5p"	1.525997
"hsa-miR-16-5p"	0.254333
"hsa-miR-16-5p"	0.254333
"hsa-miR-16-5p"	0.254333
"hsa-miR-16-5p"	1.525997
"hsa-miR-16-5p"	0.254333
"hsa-miR-17-5p"	1.525997
"hsa-miR-17-5p"	1.017332
