"miRNA"	"X4b31b50d.f2ba.4f7e.a49e.0331ea38674a.mirbase21.isoforms.quantification.txt"	"X7888df2c.7336.4256.a863.4a38cf4471c3.mirbase21.isoforms.quantification.txt"	"X88ef0233.d4f6.43ee.aa5f.2bb5089072d5.mirbase21.isoforms.quantification.txt"
"hsa-let-7a-2-3p"	62.820221	7.794153	3.53036
"hsa-let-7a-3p"	32.300276	18.776822	17.6518
"hsa-let-7a-5p"	32491.025233	14816.329034	19520.774758
"hsa-let-7b-3p"	24.415957	16.651144	14.121441
"hsa-let-7b-5p"	23043.067459	5969.966298	10602.378331
"hsa-let-7c-3p"	4.323659	10.451249	3.53036
"hsa-let-7c-5p"	1431.131107	885.521974	844.462205
"hsa-let-7d-3p"	297.060803	334.439984	259.834525
"hsa-let-7d-5p"	123.097113	155.883043	136.977984
"hsa-let-7e-3p"	5.595324	7.262733	1.412144
"hsa-let-7e-5p"	1005.632202	1230.413208	473.774364
"hsa-let-7f-1-3p"	3.814994	3.188517	1.412144
"hsa-let-7f-2-3p"	0.762999	0.885699	0.706072
"hsa-let-7f-5p"	5373.79939	3731.804642	5419.103202
"hsa-let-7g-3p"	35.352271	17.182563	41.658252
"hsa-let-7g-5p"	522.908398	492.802987	586.745896
"hsa-let-7i-3p"	83.166852	60.581819	57.191838
"hsa-let-7i-5p"	438.215551	365.262314	344.563174
"hsa-miR-1"	6.612655	8.502712	7.766792
"hsa-miR-100-3p"	3.051995	0.17714	0.706072
"hsa-miR-100-5p"	15208.851803	6611.921012	1878.151728
"hsa-miR-101-3p"	8770.414985	11783.518131	10785.251001
"hsa-miR-101-5p"	2.797662	8.856992	3.53036
"hsa-miR-103a-2-5p"	0.508666	0.708559	2.824288
"hsa-miR-103a-3p"	14462.639141	12753.358659	18897.31311
"hsa-miR-105-5p"	0	0.8857	0
"hsa-miR-106a-5p"	1.78033	10.80553	11.297153
"hsa-miR-106b-3p"	235.766578	246.047214	451.180057
"hsa-miR-106b-5p"	140.646082	216.287724	351.623895
"hsa-miR-107"	54.935903	81.30718	67.78292
"hsa-miR-10a-3p"	3.814994	2.657098	1.412144
"hsa-miR-10a-5p"	19028.677305	25142.340707	12041.353228
"hsa-miR-10b-3p"	7.121321	1.594258	0
"hsa-miR-10b-5p"	10113.546915	4750.890041	160.278361
"hsa-miR-1179"	0.254333	0.17714	0
"hsa-miR-1180-3p"	15.005641	19.308241	12.709297
"hsa-miR-1185-1-3p"	0	0	0.706072
"hsa-miR-1185-5p"	0.254333	0	1.412144
"hsa-miR-1193"	0.508666	0	0
"hsa-miR-122-3p"	3.814994	6.731314	26.830738
"hsa-miR-122-5p"	349.199043	904.475935	8413.55489
"hsa-miR-1224-5p"	0	0.531419	9.178936
"hsa-miR-1226-3p"	0.254333	0.53142	0.706072
"hsa-miR-1226-5p"	0	0	0.706072
"hsa-miR-1227-3p"	0.254333	0.17714	0
"hsa-miR-1228-3p"	0.762999	0.17714	0.706072
"hsa-miR-1228-5p"	1.017332	0.885699	0
"hsa-miR-1229-3p"	0	0.70856	0
"hsa-miR-1234-3p"	0.254333	0.17714	0
"hsa-miR-1237-3p"	0	0.17714	0
"hsa-miR-1243"	0.254333	0	0
"hsa-miR-1245a"	0.254333	0.17714	0
"hsa-miR-1247-3p"	19.329299	7.971293	1.412144
"hsa-miR-1247-5p"	29.248281	5.491335	4.942504
"hsa-miR-1248"	0.254333	0	0
"hsa-miR-1249"	2.543329	2.657096	1.412144
"hsa-miR-1251-5p"	1.271665	0	0
"hsa-miR-1254"	0.254333	0.35428	7.06072
"hsa-miR-1258"	0.254333	0.17714	2.118216
"hsa-miR-125a-3p"	6.103989	3.188517	1.412144
"hsa-miR-125a-5p"	559.532333	614.675185	324.793156
"hsa-miR-125b-1-3p"	2.034664	0.35428	1.412144
"hsa-miR-125b-2-3p"	14.242642	8.679852	9.178937
"hsa-miR-125b-5p"	1272.936057	529.825209	418.700743
"hsa-miR-126-3p"	2914.654789	3452.986561	3897.517874
"hsa-miR-126-5p"	212.113621	212.567788	311.377786
"hsa-miR-1262"	1.271665	0.35428	0.706072
"hsa-miR-1266-5p"	4.32366	7.617012	18.357874
"hsa-miR-1269a"	4.577991	2.479958	0
"hsa-miR-127-3p"	1531.846929	307.869012	350.917823
