"miRNA"	"Count"
"hsa-let-7a-5p"	1.412144
"hsa-let-7a-5p"	31.773244
"hsa-let-7a-5p"	1020.980226
"hsa-let-7a-5p"	1508.16996
"hsa-let-7a-5p"	3815.613513
"hsa-let-7a-5p"	136.977983
"hsa-let-7a-5p"	2.824288
"hsa-let-7a-5p"	0.706072
"hsa-let-7a-5p"	0.706072
"hsa-let-7a-5p"	0.706072
"hsa-let-7a-5p"	0.706072
"hsa-let-7a-5p"	2.824288
"hsa-let-7a-5p"	126.386902
"hsa-let-7a-5p"	3704.054125
"hsa-let-7a-5p"	1504.6396
"hsa-let-7a-5p"	1030.159163
"hsa-let-7a-5p"	0.706072
"hsa-let-7a-5p"	26.124667
"hsa-let-7a-5p"	0.706072
"hsa-let-7a-5p"	7.060721
"hsa-let-7a-5p"	12.709297
"hsa-let-7a-5p"	7.766793
"hsa-let-7a-5p"	25.418595
"hsa-let-7a-5p"	1080.996352
"hsa-let-7a-5p"	1514.524609
"hsa-let-7a-5p"	3821.968162
"hsa-let-7a-5p"	129.21119
"hsa-let-7a-5p"	1.412144
"hsa-let-7a-5p"	1.412144
"hsa-let-7a-5p"	0.706072
"hsa-let-7a-5p"	0.706072
"hsa-let-7a-5p"	0.706072
"hsa-let-7b-5p"	3.53036
"hsa-let-7b-5p"	1.412144
"hsa-let-7b-5p"	317.026363
"hsa-let-7b-5p"	3540.245402
"hsa-let-7b-5p"	1537.824987
"hsa-let-7b-5p"	4051.441587
"hsa-let-7b-5p"	1146.661056
"hsa-let-7b-5p"	1.412144
"hsa-let-7b-5p"	0.706072
"hsa-let-7b-5p"	1.412144
"hsa-let-7b-5p"	0.706072
"hsa-let-7c-5p"	4.236432
"hsa-let-7c-5p"	4.942505
"hsa-let-7c-5p"	7.060721
"hsa-let-7c-5p"	11.297153
"hsa-let-7c-5p"	75.549712
"hsa-let-7c-5p"	84.728649
"hsa-let-7c-5p"	598.043051
"hsa-let-7c-5p"	57.191838
"hsa-let-7c-5p"	1.412144
"hsa-let-7d-5p"	0.706072
"hsa-let-7d-5p"	19.770018
"hsa-let-7d-5p"	23.300379
"hsa-let-7d-5p"	85.434722
"hsa-let-7d-5p"	7.766793
"hsa-let-7e-5p"	0.706072
"hsa-let-7e-5p"	0.706072
"hsa-let-7e-5p"	1.412144
"hsa-let-7e-5p"	34.597532
"hsa-let-7e-5p"	84.728649
"hsa-let-7e-5p"	315.614219
"hsa-let-7e-5p"	31.773244
"hsa-let-7e-5p"	4.236432
"hsa-let-7f-5p"	1.412144
"hsa-let-7f-5p"	2.118216
"hsa-let-7f-5p"	9.178937
"hsa-let-7f-5p"	195.581966
"hsa-let-7f-5p"	547.205861
"hsa-let-7f-5p"	1895.803531
"hsa-let-7f-5p"	16.239658
"hsa-let-7f-5p"	1.412144
"hsa-let-7f-5p"	0.706072
"hsa-let-7f-5p"	0.706072
"hsa-let-7f-5p"	1.412144
"hsa-let-7f-5p"	68.488992
"hsa-let-7f-5p"	0.706072
"hsa-let-7f-5p"	1.412144
"hsa-let-7f-5p"	1913.455333
"hsa-let-7f-5p"	1.412144
"hsa-let-7f-5p"	560.62123
"hsa-let-7f-5p"	1.412144
"hsa-let-7f-5p"	188.521245
"hsa-let-7f-5p"	7.766793
"hsa-let-7f-5p"	2.824288
"hsa-let-7f-5p"	0.706072
"hsa-miR-15a-5p"	81.198289
"hsa-miR-15a-5p"	57.191838
"hsa-miR-15a-5p"	26.830739
"hsa-miR-15a-5p"	28.242883
"hsa-miR-15a-5p"	3.53036
"hsa-miR-16-5p"	4.942505
"hsa-miR-16-5p"	18.357874
"hsa-miR-16-5p"	0.706072
"hsa-miR-16-5p"	294.432057
"hsa-miR-16-5p"	5.648577
"hsa-miR-16-5p"	29.655027
"hsa-miR-16-5p"	2.824288
"hsa-miR-16-5p"	0.706072
"hsa-miR-16-5p"	3.53036
"hsa-miR-16-5p"	26.830739
"hsa-miR-16-5p"	4.942505
"hsa-miR-16-5p"	335.384237
"hsa-miR-16-5p"	14.121442
"hsa-miR-16-5p"	0.706072
"hsa-miR-16-5p"	2.118216
"hsa-miR-17-5p"	0.706072
"hsa-miR-17-5p"	0.706072
"hsa-miR-17-5p"	0.706072
"hsa-miR-17-5p"	2.118216
"hsa-miR-17-5p"	0.706072
"hsa-miR-17-5p"	2.824288
"hsa-miR-17-5p"	14.121442
"hsa-miR-17-5p"	18.357874
"hsa-miR-17-5p"	563.445519
"hsa-miR-17-5p"	26.124667
"hsa-miR-17-5p"	1.412144
"hsa-miR-17-3p"	2.118216
"hsa-miR-17-3p"	338.208526
"hsa-miR-17-3p"	4.236432
"hsa-miR-17-3p"	28.948955
"hsa-miR-18a-5p"	1.412144
"hsa-miR-18a-5p"	1.412144
"hsa-miR-18a-5p"	4.942505
"hsa-miR-18a-5p"	0.706072
"hsa-miR-19a-3p"	0.706072
"hsa-miR-19a-3p"	1.412144
"hsa-miR-19a-3p"	1.412144
"hsa-miR-19a-3p"	9.178937
"hsa-miR-19a-3p"	26.124667
"hsa-miR-19b-3p"	0.706072
"hsa-miR-19b-3p"	2.118216
"hsa-miR-19b-3p"	0.706072
"hsa-miR-19b-3p"	24.006451
"hsa-miR-19b-3p"	60.016127
"hsa-miR-19b-3p"	0.706072
"hsa-miR-19b-3p"	53.661478
"hsa-miR-19b-3p"	0.706072
"hsa-miR-19b-3p"	24.712523
"hsa-miR-19b-3p"	2.118216
"hsa-miR-20a-5p"	0.706072
"hsa-miR-20a-5p"	0.706072
"hsa-miR-20a-5p"	0.706072
"hsa-miR-20a-5p"	4.942505
"hsa-miR-20a-5p"	4.236432
"hsa-miR-20a-5p"	616.400925
"hsa-miR-20a-5p"	11.297153
"hsa-miR-21-5p"	0.706072
"hsa-miR-21-5p"	13.415369
"hsa-miR-21-5p"	103.792596
"hsa-miR-21-5p"	306.435282
"hsa-miR-21-5p"	19.063946
"hsa-miR-21-5p"	1.412144
"hsa-miR-21-5p"	2.118216
"hsa-miR-21-5p"	256.304165
