"miRNA"	"X07a10aa5.fb68.4d78.b02c.f1456e297f4f.mirbase21.isoforms.quantification.txt"	"X182d6150.e189.4b73.b782.f7d7ccb2fcc8.mirbase21.isoforms.quantification.txt"	"X1fb66ad0.dc12.45de.83fd.709208db8dce.mirbase21.isoforms.quantification.txt"	"X2ab22567.023f.4e2b.80a5.00c7d58f4716.mirbase21.isoforms.quantification.txt"	"X2dfc2f5f.3400.4f0d.be2e.25f646d08958.mirbase21.isoforms.quantification.txt"	"X32100d21.e578.43a9.9e7e.0a59069fd6bf.mirbase21.isoforms.quantification.txt"	"X3829e826.bcd8.44b6.929a.ee890c94d6cd.mirbase21.isoforms.quantification.txt"	"X38d93245.1ccd.40b9.8fcf.5d5cb342b704.mirbase21.isoforms.quantification.txt"	"X40a39e83.23c6.4240.a1a0.ddf221f23103.mirbase21.isoforms.quantification.txt"	"X4348a153.a786.4cb2.8fec.918acf9f9254.mirbase21.isoforms.quantification.txt"	"X44ad6046.e17a.4655.bb58.3c778930e938.mirbase21.isoforms.quantification.txt"	"X4b31b50d.f2ba.4f7e.a49e.0331ea38674a.mirbase21.isoforms.quantification.txt"	"X4d9fe929.fb0d.4a9f.bd42.922fafef34bc.mirbase21.isoforms.quantification.txt"	"X54a07c50.39fc.486b.8098.c7add372def7.mirbase21.isoforms.quantification.txt"	"X64cf1660.e7e0.4eed.811f.4dae145134ce.mirbase21.isoforms.quantification.txt"	"X66b305e4.c0b4.40ba.a384.3f9eca90358c.mirbase21.isoforms.quantification.txt"	"X6ed4a3e1.7ef1.4174.af0f.45228711ac54.mirbase21.isoforms.quantification.txt"	"X768a3bc8.2d00.443b.8ad7.0a1b42ebc5bd.mirbase21.isoforms.quantification.txt"	"X7888df2c.7336.4256.a863.4a38cf4471c3.mirbase21.isoforms.quantification.txt"	"X78b783b1.c2eb.4b94.9765.b4b8bf3776e0.mirbase21.isoforms.quantification.txt"	"X7aaa0428.ac76.4e4d.96ce.18d131d88812.mirbase21.isoforms.quantification.txt"	"X7b27e34c.764e.4463.a7cc.7b451b70bf8e.mirbase21.isoforms.quantification.txt"	"X812d4342.28b2.4af5.b47e.7897475693bc.mirbase21.isoforms.quantification.txt"	"X88ef0233.d4f6.43ee.aa5f.2bb5089072d5.mirbase21.isoforms.quantification.txt"	"X8ca45577.302c.4993.880b.474a9163cf29.mirbase21.isoforms.quantification.txt"	"X8da3699a.be12.462f.b5e6.06d1b57bff4e.mirbase21.isoforms.quantification.txt"	"X91c07e4a.3521.4f9c.a1ad.ba8c677a7c98.mirbase21.isoforms.quantification.txt"	"X96002921.1f7a.4f47.a399.05e7f04b6b37.mirbase21.isoforms.quantification.txt"	"a4d3c98b.b149.456c.93c8.47d70479ee23.mirbase21.isoforms.quantification.txt"	"a745f847.1d36.4fca.ba69.8c33e91f7168.mirbase21.isoforms.quantification.txt"	"b086a8ee.57ae.47a2.8173.71df4f47b02f.mirbase21.isoforms.quantification.txt"	"b9316b2e.455d.4325.9661.94b05c789aa0.mirbase21.isoforms.quantification.txt"	"c0d51bdd.0b43.4c59.8ef1.7ea059883bf2.mirbase21.isoforms.quantification.txt"	"c8ec24f0.e0a0.4cc2.9f60.c27c32094390.mirbase21.isoforms.quantification.txt"	"ca17208e.35a3.4156.bca7.9e134d872bb8.mirbase21.isoforms.quantification.txt"	"caad916f.d439.4849.a3a5.e29dcd54cd43.mirbase21.isoforms.quantification.txt"	"cd35dff1.a712.4da6.a4e9.f49c09f4d6ed.mirbase21.isoforms.quantification.txt"	"df69dca7.80f1.40a2.b0f2.bdbf123acee6.mirbase21.isoforms.quantification.txt"	"e3950880.413b.4d62.a32a.779538e2ebc3.mirbase21.isoforms.quantification.txt"	"e3bb32f2.5cdd.4fc3.af9c.72cfe24f234d.mirbase21.isoforms.quantification.txt"	"e41e3b77.c931.4d03.bd39.7297965bfc95.mirbase21.isoforms.quantification.txt"	"e4d4d649.3cbb.450f.ae97.d34b21f43435.mirbase21.isoforms.quantification.txt"	"ea00711d.4423.4509.acd0.f3ec943711c1.mirbase21.isoforms.quantification.txt"	"f2809fd4.3e86.4ee2.ae5a.6a56256b95e7.mirbase21.isoforms.quantification.txt"	"fcc2dd9d.37b4.49fd.9d3b.202406b78b69.mirbase21.isoforms.quantification.txt"
"hsa-let-7a-2-3p"	7.87232	5.69313	10.926954	0.925252	4.910572	3.688694	3.448478	5.818502	8.622858	6.887123	4.76278	62.820221	4.384135	5.857936	15.64963	3.374874	11.618252	4.140024	7.794153	5.740538	9.887967	5.011745	5.433261	3.53036	8.543237	6.423383	4.466933	6.323016	8.794711	1.327955	1.888156	1.063508	1.748716	7.140983	10.622991	6.798296	9.031494	1.011265	15.583706	12.551742	7.84373	9.130462	8.257239	14.013413	0.251728
"hsa-let-7a-3p"	18.428386	34.158783	26.129671	20.149928	37.443117	23.912909	18.200301	20.676464	40.391284	42.22106	25.514892	32.300276	41.805865	26.982008	47.614831	29.248903	65.656639	28.980167	18.776822	26.065149	32.959891	31.072821	29.236119	17.6518	46.560642	43.357837	52.64599	31.615077	32.633004	23.903193	17.308091	11.394727	19.818774	25.569326	40.500149	78.588306	21.274189	21.99503	36.541104	46.114008	22.659667	61.445538	43.645407	36.434875	30.207329
"hsa-let-7a-5p"	27338.602657	22136.518011	25204.203364	25065.993574	22926.848437	19564.19484	16252.679991	23097.687462	25380.40042	28530.957093	16586.039616	32491.025233	28793.435822	29210.866713	31966.19947	21462.750633	20504.324018	14861.165705	14816.329034	28205.439303	16162.706497	24018.088797	24423.802655	19520.774758	21764.964446	34830.798028	28327.050915	29202.144347	25616.676987	24372.624205	14982.043638	17347.786408	32035.30073	21569.684822	33490.138624	39705.312901	22671.058519	23325.85586	19796.14362	26279.527296	18879.566806	22985.073663	20709.155276	16083.973356	19962.764431
"hsa-let-7b-3p"	13.597646	26.025739	12.51057	20.04712	22.711397	5.723835	9.770688	8.831655	21.935341	19.31389	13.607941	24.415957	30.375795	16.863756	33.297083	35.516528	22.696121	13.110074	16.651144	20.634911	21.835927	11.627251	11.90143	14.121441	14.309922	22.080382	18.186796	20.374162	26.615571	13.058226	11.014242	6.381047	14.572629	5.067795	33.528812	62.816258	15.654591	13.39927	27.943197	18.554749	22.950173	24.430154	23.985314	25.535553	15.103665
"hsa-let-7b-5p"	19039.38719	12416.717631	10121.841855	16005.00376	12707.640485	7489.701547	6946.385543	13484.586683	18502.990087	18516.630381	9856.232102	23043.067459	32408.155492	14149.934417	24387.450198	24703.27226	10062.217094	14435.157299	5969.966298	12003.156366	14435.608217	7006.821187	9177.036865	10602.378331	9147.671137	19352.049194	11900.54567	28921.823996	21946.736919	15603.251279	8947.025903	7210.202686	22673.406995	4205.347951	40550.111549	52098.878773	10758.717803	10260.807961	10982.214154	11611.179783	8894.789444	12504.784238	9806.847455	8265.422773	13039.496587
"hsa-let-7c-3p"	5.546407	33.955456	10.926953	0.719641	37.443115	5.087854	3.256897	3.636564	10.740753	7.186563	9.185361	4.323659	9.081423	22.366667	16.315572	3.856999	13.239404	4.278024	10.451249	22.186408	7.415976	6.815974	5.433261	3.53036	11.960532	10.437998	7.338533	3.512788	7.868952	0.663978	1.573462	1.823157	1.16581	4.376732	3.983621	7.070228	32.312681	3.286614	78.455902	14.734653	33.117971	23.196309	5.898028	43.285876	2.265549
"hsa-let-7c-5p"	1924.961395	5395.257782	1776.975834	348.819888	6779.352027	1651.898749	837.213989	906.959034	1601.431213	1452.584174	1596.211551	1431.131107	2169.051009	5870.89498	2060.756524	997.676961	1073.472478	347.76196	885.521974	6129.033659	809.165322	643.909065	755.999485	844.462205	1589.042103	2354.17012	871.370858	763.679758	1084.295214	423.83901	636.780518	672.51672	452.042937	860.142925	608.000206	1392.019128	5835.148329	1314.645478	4804.080566	1647.552547	4572.894399	4783.621627	1404.123823	4069.18391	189.047529
"hsa-let-7d-3p"	201.280933	428.611397	176.573216	285.594356	326.859971	102.011457	318.026367	137.358213	322.071323	241.199042	370.476211	297.060803	229.071076	243.725661	235.077414	535.15855	377.458105	114.126643	334.439984	296.180773	312.294965	367.862122	347.211263	259.834525	229.172336	365.329946	540.498803	458.418623	403.630921	232.834797	150.89511	69.279933	188.71554	83.157899	456.290626	556.37256	369.689181	271.272037	358.425251	368.093473	361.9736	298.344006	410.895937	441.578233	515.538399
"hsa-let-7d-5p"	174.980225	123.012283	89.791045	198.106667	98.825268	54.312832	104.795434	118.34418	230.094169	102.258811	118.389091	123.097113	142.797553	121.419046	170.481071	136.602032	148.065169	67.620382	155.883043	105.036346	147.495512	140.529345	119.790472	136.977984	109.780597	325.986721	253.657941	232.54646	141.641127	135.230097	86.225777	55.150473	133.776729	53.442195	240.511136	209.659455	88.307948	133.739894	120.908067	160.17114	99.934928	131.77477	110.09652	111.795901	168.657581
"hsa-let-7e-3p"	5.546407	9.962978	9.343336	6.476761	8.900413	8.267761	7.663286	4.779485	14.37143	7.336284	12.587347	5.595324	14.091863	7.278041	9.656154	9.160369	9.456717	6.072034	7.262733	5.27509	13.801953	5.412685	6.985622	1.412144	8.329656	7.627768	8.933865	7.025573	6.711753	3.098564	4.563043	3.570348	2.623072	2.533897	14.938578	12.780797	7.024496	10.112657	5.373692	4.911551	5.519662	5.182154	5.898028	5.916774	11.076021
