miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.017332	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.017332	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	1.525997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	193	49.086246	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7440	1892.236616	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9611	2444.393295	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	24595	6255.317147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	625	158.958049	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	3.051995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	2.034663	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.508666	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	2.797662	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.254333	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.254333	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	10	2.543329	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	25	6.358322	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	3.306327	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.254333	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.762999	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	7	1.780330	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	190	48.323247	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	40	10.173315	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.254333	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	6	1.525997	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	3	0.762999	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.525997	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.254333	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	582	148.021735	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.254333	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	14	3.560660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.508666	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	24644	6267.779458	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	25	6.358322	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.254333	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.508666	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9729	2474.404575	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.508666	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	7392	1880.028638	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.508666	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	189	48.068914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146585-122146603:-	1	0.254333	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	125	31.791610	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	24	6.103989	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	42	10.681981	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146613:-	2	0.508666	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	2	0.508666	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112773:+	1	0.254333	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.508666	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.762999	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	53	13.479643	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	70	17.803301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	27	6.866988	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	173	43.999588	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	7455	1896.051609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9792	2490.427546	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	24489	6228.357862	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	548	139.374417	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.762999	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	7	1.780330	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.508666	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.254333	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.508666	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	14	3.560660	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.254333	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.254333	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112778:+	1	0.254333	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	14	3.560660	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	42	10.681981	N	mature,MIMAT0004481
